place_category,ending
populated place,Donostia
populated place,Durana
populated place,Durango
populated place,Duruquiz
populated place,Délica
populated place,Echagüen
populated place,Echano
populated place,Echávarri
populated place,Eguia
populated place,Eguileor
populated place,Eguileta
populated place,Eguino
populated place,Eguía
populated place,Elanchove
populated place,Elbarrena
populated place,Elburgo
populated place,Elciego
populated place,Elduayen
populated place,Elejagas
populated place,Elejalde
populated place,Elexalde
populated place,Elguea
populated place,Elguero
populated place,Elgueta
populated place,Elgóibar
populated place,Elizalde
populated place,Elizondo
populated place,Elorriaga
populated place,Elorrieta
populated place,Elorrio
populated place,Elosu
populated place,Elosua
populated place,Elvillar
populated place,Emerando
populated place,Erandio
populated place,Erausquin
populated place,Erenchun
populated place,Ereño
populated place,Ergobia
populated place,Ergoyen
populated place,Ergoyena
populated place,Eribe
populated place,Ermúa
populated place,Eroso
populated place,Erquincos
populated place,Errecacho
populated place,Escoriaza
populated place,Escota
populated place,Esparta
populated place,Espejo
populated place,Estarrona
populated place,Esteban
populated place,Esturo
populated place,Ezquioga
populated place,Faido
populated place,Fanos
populated place,Fausto
populated place,Fica
populated place,Flores
populated place,Florida
populated place,Fontecha
populated place,Foronda
populated place,Forua
populated place,Fresneda
populated place,Frúniz
populated place,Gaceo
populated place,Galarraga
populated place,Galarreta
populated place,Galarza
populated place,Galdacan
populated place,Galdacon
populated place,Galdames
populated place,Galdácano
populated place,Galindo
populated place,Gallarta
populated place,Gallartu
populated place,Galzaur
populated place,Gamboa
populated place,Ganzaga
populated place,Garacoy
populated place,Garagarza
populated place,Garay
populated place,Garayo
populated place,Garayolza
populated place,Gardata
populated place,Gardea
populated place,Garibay
populated place,Garin
populated place,Garleiz
populated place,Garteiz
populated place,Gastelu
populated place,Gatica
populated place,Gauna
populated place,Gavica
populated place,Gaviria
populated place,Gaztelu
populated place,Gaínza
populated place,Goitana
populated place,Goitiolza
populated place,Gomarra
populated place,Gomecha
populated place,Gordoa
populated place,Gordón
populated place,Gorocica
populated place,Goronaeta
populated place,Goyaz
populated place,Goyerri
populated place,Goyerria
populated place,Goyuria
populated place,Gozategui
populated place,Gregorio
populated place,Guellano
populated place,Guendica
populated place,Guerena
populated place,Guereña
populated place,Guernica
populated place,Guerrica
populated place,Guetaria
populated place,Gumucio
populated place,Gurendes
populated place,Gutiolo
populated place,Guyuria
populated place,Gáceta
populated place,Gáceto
populated place,Gámiz
populated place,Gázaga
populated place,Górgolas
populated place,Górliz
populated place,Güeñes
populated place,Herboso
populated place,Heredia
populated place,Hereña
populated place,Hernani
populated place,Herrera
populated place,Hérmua
populated place,Ibarguren
populated place,Ibarra
populated place,Ibárruri
populated place,Ichaso
populated place,Igartua
populated place,Ignacio
populated place,Iguria
populated place,Iguzaga
populated place,Ilárduya
populated place,Ilárraza
populated place,Inurrieta
populated place,Ipiñaburu
populated place,Iraeta
populated place,Irazabal
populated place,Irazola
populated place,Irucheas
populated place,Irura
populated place,Iráuregui
populated place,Irún
populated place,Isasondo
populated place,Islas
populated place,Ispáster
populated place,Iturrate
populated place,Iturriotz
populated place,Izarra
populated place,Izarza
populated place,Jemein
populated place,Juan
populated place,Jugo
populated place,Junguitu
populated place,Junquitu
populated place,Jócano
populated place,Labastida
populated place,Labraza
populated place,Lacorzana
populated place,Lagrán
populated place,Laguardia
populated place,Lahoz
populated place,Laiseca
populated place,Lalastra
populated place,Laminoria
populated place,Lamíndano
populated place,Lancarica
populated place,Lanciego
populated place,Landa
populated place,Lanestosa
populated place,Langarica
populated place,Laris
populated place,Larraul
populated place,Larrauri
populated place,Larrimbe
populated place,Larrínaga
populated place,Lasarte
populated place,Lazcano
populated place,Leaburu
populated place,Leagui
populated place,Lebario
populated place,Lecámaña
populated place,Ledo
populated place,Legazpia
populated place,Lemorieta
populated place,Lequeitio
populated place,Lequerica
populated place,Lermanda
populated place,Leza
populated place,Lezama
populated place,Lezo
populated place,Licona
populated place,Lizarza
populated place,Llamas
populated place,Llano
populated place,Llanteno
populated place,Loredo
populated place,Loroño
populated place,Loroños
populated place,Loyola
populated place,Loza
populated place,Lubiano
populated place,Luchana
populated place,Lucía
populated place,Lugariz
populated place,Lujua
populated place,Luquiano
populated place,Luyando
populated place,Luzuriaga
populated place,Madariaga
populated place,Maeztu
populated place,Malax
populated place,Mallavia
populated place,Mamés
populated place,Manurga
populated place,Manzanos
populated place,Marcaida
populated place,Marcos
populated place,Margarita
populated place,Marieta
populated place,Marina
populated place,Marmiz
populated place,Marquina
populated place,Marquio
populated place,Marquínez
populated place,Martín
populated place,Marín
populated place,Matamoros
populated place,Matauco
populated place,Matiana
populated place,Matiena
populated place,Maulanda
populated place,Maurolas
populated place,Mayor
populated place,Mañaria
populated place,Mañuas
populated place,Meaca
populated place,Meave
