name,industry
ENERGY DEVELOPMENT GROUP SHA,INDUSTRIALS
ALBPLAST SHPK,MATERIALS
GLOBAL SECURITY SHPK,INDUSTRIALS
D&D DISTRIBUTION SHPK,CONSUMER STAPLES
ALBANIA GAS TECH SHA,ENERGY
VIBIA SHPK,CONSUMER DISCRETIONARY
AGROALIMENTARE F.LLI MONALDI S.P.A,CONSUMER STAPLES
M.RRYCI SHPK,CONSUMER DISCRETIONARY
SHPK 3-PL,NOT RELEVANT
GEGA OIL GROUP SHA,ENERGY
M-PAY SHPK,INDUSTRIALS
KASTRATI ENERGY TRADE SHA,ENERGY
MARIO 2005,INDUSTRIALS
FONDACIONI FUNDJAVE NDRYSHE,NOT RELEVANT
SEAMENT ALBANIA SHPK,INDUSTRIALS
ECS ECO CLIMATE SOLUTION SHA,CONSUMER DISCRETIONARY
SKRAQI SHPK,CONSUMER STAPLES
CONAD FOOD TRADE SHPK,CONSUMER STAPLES
GROUP TEKNO FIRE,INDUSTRIALS
Ilia Bregu PF,CONSUMER DISCRETIONARY
BREGU SHA,REAL ESTATE
VALENTINI SHPK,CONSUMER DISCRETIONARY
BLAED TRADE SHPK,CONSUMER STAPLES
AL&GI SHPK,NOT RELEVANT
ABC ALBANIA SHPK,INDUSTRIALS
I C T S ALBANIA,INDUSTRIALS
WHITE ROADS HOTEL SHPK,REAL ESTATE
FERRI TRANS FORWARDING SERVICE SHPK,INDUSTRIALS
GROUP AV GAS GCC,ENERGY
DIMAX ALBANIA SHPK,CONSUMER DISCRETIONARY
INTERMEDICA CENTER SHPK,HEALTH CARE
PIRRACI H.A & CO SHPK,INDUSTRIALS
NELT SHPK,CONSUMER DISCRETIONARY
ALBTEK ENERGY SHPK,INDUSTRIALS
Group Joena,CONSUMER DISCRETIONARY
EUROMAX SHPK,CONSUMER STAPLES
KISI-BIO-ENERGJI SHPK,UTILITIES
GO EG LTD SHPK,CONSUMER DISCRETIONARY
CCALB SHPK,MATERIALS
Smart Construction Invest,MATERIALS
SHOQATA FIAA,CONSUMER DISCRETIONARY
CT COMPUTERS AL,INFORMATION TECHNOLOGY
MEGGLE ALBANIA SHPK,CONSUMER STAPLES
SALTI-OIL SHPK,CONSUMER DISCRETIONARY
T.E.A SHPK,CONSUMER STAPLES
OPERATORI I SHPERNDARJES SE ENERGJI,UTILITIES
FROJD & NOEL SHPK,CONSUMER DISCRETIONARY
JONALD AGOLLI PERSON FIZIK,CONSUMER STAPLES
EURO MARKET TIRANA,CONSUMER STAPLES
ELBASAN CEMENT FACTORY SHPK,MATERIALS
TOK MEDIA SHPK,CONSUMER DISCRETIONARY
GENERAL POLYMEREN RECYCLING ALBANIA,MATERIALS
KNAUF-TIRANA SHPK,MATERIALS
URDHERI I MJEKEVE,HEALTH CARE
ENERGIA GAS AND POWER ALBANIA SHPK,UTILITIES
ALBAOIL SHA,ENERGY
"Energoinvest d.d Sarajevo, Bosnia H",INDUSTRIALS
SHIJAKU SHPK,INDUSTRIALS
GROUP FADIL VEIZI PF,CONSUMER STAPLES
VEGA ENERGY SHPK,INDUSTRIALS
AL.GLOBAL OIL SHA,ENERGY
DELTA SHA,INDUSTRIALS
ZENTIVA PHARMA ALBANIA SHPK,HEALTH CARE
VAKEFI SHPK,MATERIALS
KASTRATI ENERGY SHPK,CONSUMER DISCRETIONARY
EUROTEOREMA PEQIN SHPK,INDUSTRIALS
SALILLARI SHPK,INDUSTRIALS
D-TRANS SHPK,INDUSTRIALS
SAIMIR KORRESHI PF,CONSUMER STAPLES
CITY STREET HOTEL SHPK,CONSUMER DISCRETIONARY
ENBI POWER SHPK,INDUSTRIALS
AMAR LOGISTIC SHPK,INDUSTRIALS
NONA  SHPK,CONSUMER DISCRETIONARY
EMANUEL GAS SHPK,CONSUMER DISCRETIONARY
AGBES CONSTRUKSION SHPK,INDUSTRIALS
SORAVIA ALBANIA SHPK,NOT RELEVANT
SANISERVICE SHPK,HEALTH CARE
KADIU SHA,CONSUMER DISCRETIONARY
ATLAS MILLS SHPK,CONSUMER STAPLES
VEGA SHPK,INDUSTRIALS
SUBGROUP Inter-Nova,HEALTH CARE
WELL SHPK,CONSUMER DISCRETIONARY
LIFE GALLERY SHPK,CONSUMER DISCRETIONARY
AMBRA SHPK,CONSUMER DISCRETIONARY
AXIANS ALBANIA SHPK,INFORMATION TECHNOLOGY
TRING TV SHA,COMMUNICATIONS
AD VANTAGE shpk,CONSUMER DISCRETIONARY
TILUX SHPK,CONSUMER DISCRETIONARY
Group Alfagas,ENERGY
MOTUS SHPK,FINANCIALS
TEKNOXGROUP SHQIPERI SHPK,CONSUMER DISCRETIONARY
IKONA SHPK,MATERIALS
PAPMETAL SHPK,MATERIALS
SEASIDE RESIDENCE I SHPK,REAL ESTATE
VEGA ELECTRIC SHPK,INDUSTRIALS
GEBRUDER WEISS SHPK,INDUSTRIALS
STARTEK SHPK,INDUSTRIALS
A G S SHPK,NOT RELEVANT
UNI-COM SHA,CONSUMER DISCRETIONARY
ALBASCAN TRUCKS&BUSES SHPK,CONSUMER DISCRETIONARY
EVITA SHPK,HEALTH CARE
ONE ALBANIA SHA,COMMUNICATIONS
VOLALBA SHPK,MATERIALS
BOGA SHPK,MATERIALS
APOLON-5 SHPK,CONSUMER STAPLES
NOBEL ILAC VE TICARET ANONIM SIRKET,COMMUNICATIONS
GROUP Eri SHPK,CONSUMER DISCRETIONARY
AB INVESTMENTS SHPK,INDUSTRIALS
AUTO STAR ALBANIA SHA,CONSUMER DISCRETIONARY
VISTA GROUP SHPK,INDUSTRIALS
AEDA 2007 SHPK,CONSUMER STAPLES
R-I-A PLASTIK SHPK,INFORMATION TECHNOLOGY
DEVERON OIL ALBANIA,ENERGY
ALAN-GORE SHPK,CONSUMER DISCRETIONARY
ALDOSCH SHPK,NOT RELEVANT
ARFANET SHPK,INFORMATION TECHNOLOGY
DERRIGAL SHPK,CONSUMER DISCRETIONARY
GLOBALSHER SHPK,CONSUMER DISCRETIONARY
DELTA PHARMA-AL SHPK,HEALTH CARE
TRIMED SHPK,HEALTH CARE
KALEMI TRAVEL & TOURS SHPK,CONSUMER DISCRETIONARY
EMEL 17 SHPK,CONSUMER DISCRETIONARY
INFORM ALBANIA SHPK,INDUSTRIALS
Group Pula.Comerc ,CONSUMER STAPLES
La Brisa shpk,CONSUMER DISCRETIONARY
ICMS SHPK,INDUSTRIALS
STRABAG SHPK,INDUSTRIALS
HELLAS SERVIS SHPK,COMMUNICATIONS
LALA SHPK,INDUSTRIALS
SAFECOMM SHPK,COMMUNICATIONS
IDEAL CONSTRUCTION SHPK,REAL ESTATE
AGHAK CARA SHPK,MATERIALS
WETTA TEL SHPK,INDUSTRIALS
EUROVINI SHPK,INDUSTRIALS
EXTRAMARKET SHPK,CONSUMER STAPLES
PROTON COMMUNICATION SHPK,COMMUNICATIONS
SILBORA SHPK,MATERIALS
NOA ENERGY TRADE SHPK,UTILITIES
LF CONSTRUCTION GROUP SHPK,INDUSTRIALS
GAZ POWER AL,MATERIALS
S-Systems SHa,INFORMATION TECHNOLOGY
START CO SHPK,INDUSTRIALS
BOMIRA SHPK,CONSUMER STAPLES
CKV-NOKI ALBANIA SHPK,INFORMATION TECHNOLOGY
GROUP SHEGA GROUP,INDUSTRIALS
MILIS SHPK,MATERIALS
PRONATYRA KARVAN SHPK,INDUSTRIALS
SEA-FISH SHPK,CONSUMER STAPLES
EUROPA BUILDING SHPK,REAL ESTATE
PERXHOLA SHPK,INDUSTRIALS
SUN PETROLEUM ALBANIA SHPK,CONSUMER DISCRETIONARY
FURNIZUESI I TREGUT TE LIRE SHA,UTILITIES
WESTERN BALKANS UNIVERSITY SHPK,CONSUMER DISCRETIONARY
GROUP KING MIT,CONSUMER STAPLES
GROUP GEAROL,CONSUMER DISCRETIONARY
PRONATYRA TREG SHPK,CONSUMER STAPLES
ELKOS SHPK,CONSUMER STAPLES
FG WALK SHPK,CONSUMER DISCRETIONARY
AGROMEL SHPK,CONSUMER STAPLES
ULZA SHPK,INDUSTRIALS
DAST SHA,MATERIALS
STUDIO MODERNA ALBANIA SHPK,CONSUMER DISCRETIONARY
KLAIS CONSTRUCTION,REAL ESTATE
FIX PRO SHPK,CONSUMER STAPLES
ARMO SHA,ENERGY
ALBANIAN ENERGY SUPPLIER SHPK,UTILITIES
THE BEST CONSTRUCION SHPK,INDUSTRIALS
WONDER SHPK,INDUSTRIALS
DRIZA SHPK,CONSUMER STAPLES
GEGA OIL SHA,ENERGY
AUTORITETI KOMUNIKIMEVE ELEKTRONIKE,NOT RELEVANT
BIOMEDICA SHPK,HEALTH CARE
NEXIA ALBANIA SHPK,INDUSTRIALS
SIKA ALBANIA SHPK,INDUSTRIALS
GLOBAL DISTRIBUTION SHPK,CONSUMER STAPLES
GLOBAL TECHNICAL MECHANICS SHPK,INDUSTRIALS
AMA RECYCLING SHPK,MATERIALS
ALTA GROUP SHPK,CONSUMER STAPLES
KORPORATA E INVESTIMEVE SHQIPTARE,FINANCIALS
BARDHOK MARNIKOLLAJ PF,INDUSTRIALS
HARI LENA SHPK,CONSUMER STAPLES
IN FOOD SHPK,CONSUMER STAPLES
GAVRAN ENERGY SHPK,UTILITIES
GREEN COAST HOTEL SHPK,CONSUMER DISCRETIONARY
INTERKRISS SHPK,CONSUMER STAPLES
WONDER POWER SHA,NOT RELEVANT
RAJCA SHPK,NOT RELEVANT
EURO MARKET SHPK,CONSUMER STAPLES
SUBGROUP EUROPETROL DURRES ALB,ENERGY
BUJARI GROUP SHPK,CONSUMER DISCRETIONARY
IDI 2005 SHPK,INDUSTRIALS
SHULLAZI SHPK,CONSUMER STAPLES
VODAFONE ALBANIA SHA,COMMUNICATIONS
EFOR-K SHPK,ENERGY
I.S.P.P SHA,INDUSTRIALS
