name,industry
CESKY MLYNAR S R O,CONSUMER STAPLES
PLPM a.s.,INDUSTRIALS
BusLine Support s.r.o.,FINANCIALS
Fri-Service Czech s.r.o.,INDUSTRIALS
ADW FOOD s.r.o.,CONSUMER STAPLES
NEOPALLADIUM S R O,NOT RELEVANT
"TTC DATAPARK, S.R.O.",NOT RELEVANT
JOSEF KEBRLE,INDUSTRIALS
TREBOSS S R O,CONSUMER DISCRETIONARY
Group Tykac Pavel,ENERGY
"Regada Ceska, s.r.o.",INDUSTRIALS
FUTURE MEDICINE S.R.O. V LIKVIDACI,CONSUMER STAPLES
ERNEKS INVEST S R O,ENERGY
SINOP CB A.S.,INDUSTRIALS
"MERIT BAU CZ A.S. ""V LIKVIDACI""",INDUSTRIALS
SEIGERSCHMID KABELOVA KOMPLETACE S,INDUSTRIALS
SV domu Janskeho 2248,REAL ESTATE
BYTTEK BOHUMÍN A.S. V LIKVIDACI,MATERIALS
U SVATEHO MICHALA A S,REAL ESTATE
STAVOS BRNO A S,INDUSTRIALS
PRAKTIK system s.r.o.,INDUSTRIALS
VAG S R O,INDUSTRIALS
SUBGROUP AGROTRADE CONSOLIDATED,CONSUMER STAPLES
AGEL HORNICKA POLIKLINIKA S R O,HEALTH CARE
CML CONSTRUCTION SERVICES S R O,INDUSTRIALS
ADOS CZ A S,INDUSTRIALS
RPM Facility s.r.o.,INDUSTRIALS
Kupiano Investments SE,REAL ESTATE
Subgroup CIG,INDUSTRIALS
FLIDR PLAST S R O,CONSUMER DISCRETIONARY
"SV Hysly 143,144",REAL ESTATE
"SVJ Wolkerova 836, Vitkov",REAL ESTATE
BD Slavikova 4404,REAL ESTATE
"SVJ K.Capka 1148, Jirkov",REAL ESTATE
BD Tylova 2,REAL ESTATE
SKODA TVC S R O,INDUSTRIALS
"HYBERNIA PALACE, a.s.",REAL ESTATE
AMBEAT REAL ESTATE 9 S R O,HEALTH CARE
WINNING PS PAMSTAV S R O,INDUSTRIALS
I EPIC HOLDING A S,NOT RELEVANT
KAYAK SEAGULL S R O,CONSUMER DISCRETIONARY
"""WORLD INVEST"" v.o.s.",REAL ESTATE
NAMITECH S.R.O.,INDUSTRIALS
"Spro stavby, obchod, dopravu a",INDUSTRIALS
BD Nadrazni Sternberk,REAL ESTATE
AUTO JEREMIASOVA S R O,CONSUMER DISCRETIONARY
"MESIT holding, a.s.",INDUSTRIALS
DVONC JAN,NOT RELEVANT
G TEAM TEDOS S R O,INDUSTRIALS
BAUMULLER BRNO S R O,INDUSTRIALS
DIATECH PRAHA SPOL S R O,INDUSTRIALS
Group Kratochvil Jiri,INDUSTRIALS
SV U Sauny 1514-1515 Jirkov,REAL ESTATE
Group Walmsley,MATERIALS
Group Kuhn Antonin,INDUSTRIALS
HOLOUBEK PROTECT a.s.,INDUSTRIALS
SAZAVSKY OSTROV S R O,REAL ESTATE
DRASLOVKA HOLDING A S,MATERIALS
