name
"Enviro Lieskovec, a. s."
Carat - Slovakia s.r.o.
"Hemedi Moustafa, PharmDr."
"Skantar Frantisek, Ing."
"EUROAKADEMIA, a.s."
KRONOTIMBER SK S R O
"Dohnansky Igor, MUDr."
NEC ARTE spol. s r.o.
"Grman Jozef, JUDr."
Polnohospodarske druzstvo CATAJ
VENCORP DEVELOPMENT s.r.o.
"INTERFLUG, a.s. v likvidacii"
"Lenartova Beata, MUDr."
Rybin Jevgenij
"Bliss-Bret, a.s."
"TOP - MED, a.s."
Vilcekova Alena
"Sulik Marian, Ing. arch."
"GREEFIN group, a.s."
"KWS Semena, s.r.o."
"Mraz Jan, Ing., CSc."
"Posa Ludovit, Ing., CSc."
Brecka Dusan
AUTO1 Slovakia s.r.o.
Lumtzer Eduard
"Oresansky Milan, Ing."
"Mihalik Klement, Ing."
"Mares Marian, Ing."
VALENTIN VACH - KOVOVYROBA
"Janos Daniel, Ing."
"Urblik Vladimir, JUDr."
Novak Michal
"Chovanec Igor, Ing."
Klimek Jan
Cislak Miloslav
Kapusta Marian
Kiss Andrej
AGROKRAJ s. r. o.
VAGAC MATEJ
"STRABAG AG, organizacna zlozka"
"Hlinova Martina, Ing."
Informacne centrum podnikatelov
"Stecova Elena, Mgr."
"EL&ME Riadenie procesov, s.r.o."
"KREMAT, s.r.o."
Volarikova Petra
"Remetova Eva, Ing."
"Blaskovic Martin, RNDr."
GROUP HARLEY
Spolocenstvo vlastnikov bytov
"COOP Supermarket, s.r.o."
"buyonline, s r.o."
"TZB Global, s.r.o."
"Studio 21, s.r.o."
Pac Andrej
"Cumova Dagmar, Ing."
"Parkett galerie, s.r.o."
Porsche Immobilien Slovakia
Kordos Ladislav
Klub Nadeje v likvidacii
BECEP s.r.o.
"Jesenakova Silvia, Ing."
"FRABASTAV, s.r.o."
Paneuropean educational center
"Patsch Jan, Ing."
MENSAM s.r.o.
"Farkas Roman, Ing."
"Mikulas Viliam, Ing."
"Lukacin Alfonz, Ing."
Nemocnica AGEL Krompachy s.r.o.
CompuGroup Medical Slovensko s.r.o.
KOPOS - BVD spol. s r.o.
"Kratochvil Peter, Ing."
KK KUBANKA spol.s.r.o.
Klement Jozef
"Simko Juraj, Ing."
SIMO JOZEF
BSG MONT s.r.o.
"CEL SLOVAKIA, s.r.o."
RST Les k. s.
"BPS Vesele, s. r. o."
"QUEEN, s.r.o. Neded"
"AmoNet, a.s."
ADELL SK s.r.o.
"GRES, s.r.o."
Mgr. Radovan Horecky
"Sugar Martin, Mgr., PhD."
RNS Holding International a.s.
"Niersberger Slovakia, s.r.o."
Macko Vladimir
Sladek Viliam
"VSE Ekoenergia, s.r.o."
"STAVREX, a.s."
"Kudrna Patrik, Ing."
"City Gate, s.r.o."
Zedek Miroslav
Martincekova Eva
"Michnac Roman, Mgr."
Roman Turek LYNX
"DAMONAX, s.r.o."
"Vatralova Anna, Ing."
"Rybansky Patrik, Mgr."
"Pivka Dusan, Ing."
Fresenius Kabi s.r.o.
"VINARSTVO VINANZA, a.s."
SOLIVARY akciova spolocnost Presov
"Witkovska Veronika, Ing."
"Miklo Jaroslav, Ing."
"Marusin Peter, Ing."
"iClinic Bratislava Capitals, a. s."
Obcianske zdruzenie HERECKA VYZVA
Tuhovcak Peter
Minarovic Daniel
"Vocko Vladislav, Ing."
"GURWAY JOZEF, Mgr."
"Potocnak Lubos, RNDr."
"ALOSS, s.r.o."
"KORUND desktop, spol. s r.o."
NVK-SPOLOCNOST S RUCENYM OBMEDZENIM
Zoltan Mate MZ - TRANS
SLOVGRAM
"NICOLAUS LEATHER, s.r.o."
"I.V.A., s.r.o."
REAL-CITY spol. s r.o.
"Borik Miloslav, RNDr."
"BAUMARKET, s.r.o."
PD VINOHRADY Chonkovce
Mgr. Istvan Pentek - MERKANTIL
SIBA ELEKTRO s.r.o.
"Hornackova Gabriela, Ing."
"Cahajla Vladimir, Ing."
Fischer Roman
"Krisko Peter, JUDr."
Gerry Weber SK s. r. o. v konkurze
DAYSTAR s. r. o.
WIGRO TRADE CENTER a.s.
Rimsko-kat. cirkev Sid.kapit. Nitra
"Salat Peter, Ing."
"Menhart Ivan, Ing."
Katrusik Jan
MILK AGRO SPOL S R O
Gersi Marian
Dodo Cars s.r.o.
"Maricak Jaroslav, Ing., CSc."
"GUHRING Slovakia, s.r.o."
Dicak Peter
"Famon, s.r.o."
"Sivak Miroslav, Ing."
"Elias Slavomir, Ing."
"Mika Vaclav, Ing."
Sport & Fashion spol. s r.o.
"NELLY Consulting, s.r.o."
Flaga spol. s r. o.
Chrzan Vincent
Macek Stanislav
Gabor Toth
"ARVAL SLOVAKIA, s.r.o."
Strasiftak Miroslav
EUDEMONIA a. s.
"Dadulak Rudolf, Ing."
"Kovacik Milan, Ing."
Malina Lubor
MAXoil s. r. o.
"Dadulak Rudolf, Mgr."
"Babka Peter, JUDr."
"SVENTEX, s.r.o."
SeRRA TTSK
MILAN CUPER MCE LEVICE
BOAT a.s.
"Get Work-SK, s.r.o."
"timtech, s.r.o."
"Gemerske zriedla, spol. s r.o."
"Pastorek Vladimir, Ing."
"VUB Leasing, a. s."
"KPK, spol. s r.o."
"Rieker Slovakia, spol. s r.o."
"E METALL, a.s."
Siranec Marian
"Hajik Frantisek, Ing."
"Infinity invest, s.r.o."
PD Tribec Nitrianska Streda
BaFuel s.r.o.
Edyl PH s.r.o.
"EUROMERC, spol. s r.o. v likvidacii"
"TITKO, s.r.o."
"Vencel Stanislav, Ing."
"Valach Vladimir, Ing."
Ing. Ludovit Kulcsar - VOX
"MK INGSTAV, s.r.o."
"MAROLUS, s.r.o."
Nex Gen s.r.o.
Ivan Vajai - CLAUDIA TRANS
Filc Michal
"Meciar Frantisek, Ing."
Institut pre verejne otazky
Hercegova Beata
JUDr. Jan Ondrus
"Urminsky Eduard, Ing."
Hrivnak Ivan
Crkon Jozef
"PLC Development, s. r. o."
Tomas Vaclavik PEKO
"Strbavy Milan, Ing."
"Horvath Jozef, Ing."
"Jakub Peter, Ing., PhD."
Rent Matsen s.r.o.
Geotechnika spol. s r. o.
"HARMONI, n.o."
"Novak Ivan, Ing."
STEFIK JAN
"MANIA International, s.r.o."
"Mocary Miroslav, Ing."
Bielek Ludovit
"SENECA TOURS, spol. s r.o."
GLOBUS spol. s r.o.
Jakes Boris
Mihalekova Andrea
Belesova Kamila
"Bozo Gyorgy, Ing."
"Mobilier Design, s.r.o."
"Letosnik Dusan, Ing."
"Uniper Global Commodities SE, organ"
"Venas Group, a.s."
DZAK LUBOMIR - AGROPOTREBY
"Vanco Jan, Ing."
"TATE SLOVAKIA, s.r.o."
"MERIUS, a.s."
Diligentia a. s.
"Novplasta, s.r.o."
Bendikova Anzelika
Pavlikovsky Rastislav
"Lackovic Radoslav, Ing."
Siemens Enterprise Communications
"Rojko Juraj, Ing."
Prokes Jozef
"Stopkova Erika, Ing."
"Dzurovcin Slavomir, Ing."
"Nevicky Vladimir, Ing."
"WALLTECH, s.r.o."
"Lasan Lubomir, Ing."
"Siroky Juraj, Ing."
