CUSTOMER NAME,COUNTRY OF RISK,GICS_NAME_P
WOLF BIKES DOO BANJA LUKA,BA,CONSUMER DISCRETIONARY
SVJ Na Hranickach 313/19,CZ,REAL ESTATE
SMP Deutschland GmbH,DE,CONSUMER DISCRETIONARY
"TOV ""Lan-Milk""",UA,CONSUMER STAPLES
VISINA DIR D.O.O.,HR,INDUSTRIALS
ENNA LOGIC D.O.O.,HR,INDUSTRIALS
INDEX NOSLUS s.r.o.,SK,INDUSTRIALS
SMART DENIM OOO,RU,CONSUMER DISCRETIONARY
SV Kolarikova 1591,CZ,REAL ESTATE
MM PACKAGING GmbH,AT,MATERIALS
Cassovia Discovery Park s.r.o.,SK,REAL ESTATE
RENOFARMA BILOVEC A S,CZ,CONSUMER STAPLES
GROUP TRW AUTOMOTIVE,US,CONSUMER DISCRETIONARY
"Sopron, Rákóczi Ferenc u. 53. Társa",HU,REAL ESTATE
GROUP PAM PLAST ,AL,CONSUMER DISCRETIONARY
"HOCO BAUELEMENTE, SPOL. S R.O. V LI",CZ,MATERIALS
Rogner Holding GmbH,AT,REAL ESTATE
GEPARTS SP.ZO.O.,PL,CONSUMER DISCRETIONARY
Rusmarine Global LTD,RU,INDUSTRIALS
TORGOVYI DOM SUVOROVSKII REDUT-KUBA,RU,CONSUMER STAPLES
SUBGROUP VERACOMP,HR,INFORMATION TECHNOLOGY
SCHINDLER HRVATSKA D.O.O.,HR,INDUSTRIALS
SKRAP 2007 SHPK,AL,INDUSTRIALS
LIMITED LIABILITY COMPANY SETLES,RU,MATERIALS
JT FACILITY S R O,CZ,INDUSTRIALS
GreenCoop druzstvo,SK,CONSUMER STAPLES
CIUR A S,CZ,INDUSTRIALS
Tekpoint GmbH,DE,CONSUMER DISCRETIONARY
ACCIPIENS SA,RO,HEALTH CARE
"BLANAR NABYTEK,a.s. ",CZ,CONSUMER DISCRETIONARY
B C D DEVELOPMENT S R O,CZ,REAL ESTATE
designfunktion Nürnberg GmbH,DE,CONSUMER DISCRETIONARY
WESTERN COMPANY SPOLECNOST S RUCENI,CZ,REAL ESTATE
Mud Master LLC,RU,INDUSTRIALS
"SV Prazska 14, Znojmo",CZ,REAL ESTATE
JSC I.T.M.S.,RU,CONSUMER STAPLES
"Cerstve utrzeno, druzstvo",CZ,CONSUMER STAPLES
"Hes Ivan, Ing.",SK,INDUSTRIALS
LZBT OOO,RU,CONSUMER DISCRETIONARY
"Hatas Peter, Ing.",SK,REAL ESTATE
"SV Smichovska 2737, Praha 5",CZ,REAL ESTATE
"UNITED HOTEL INVESTMENTS BOHEMIA,",CZ,REAL ESTATE
GROUP TEKHNOKOM,RU,CONSUMER DISCRETIONARY
Linde GmbH,DE,MATERIALS
FIM DOO KANJIZA,RS,ENERGY
Robert Burkle GmbH,DE,INDUSTRIALS
GREAVES LIMITED,IN,INDUSTRIALS
YUGOLOGISTICS,RS,INDUSTRIALS
CFO PHARMA SH.P.K,XK,HEALTH CARE
Hödlmayr Hungária Logistics Kft.,HU,INDUSTRIALS
UMKA D.O.O. UMKA,RS,MATERIALS
Sáhó-Fekete Andrea õstermelõ,HU,CONSUMER STAPLES
SUBGROUP UNEX CONSOLIDATED,CZ,INDUSTRIALS
IQS GROUP A.S.,CZ,INDUSTRIALS
BAT SA BASCOV,RO,MATERIALS
Parrag Éva,HU,NOT RELEVANT
MRSU-1 LLC,RU,INDUSTRIALS
TOV TIOPOL,UA,MATERIALS
KTSIP ALGORITM OOO,RU,INDUSTRIALS
MEDIA GROUP SERVICES INTERNATIONAL,RO,COMMUNICATIONS
TEPLARNA OTROKOVICE A S,CZ,UTILITIES
LM KOMERC D.O.O. OBRENOVAC,RS,INDUSTRIALS
MBAL HASKOVO AD,BG,HEALTH CARE
"SV Kristenova 18a, Brno",CZ,REAL ESTATE
IREKS-STAMAG Élelmiszeripari és Ker,HU,CONSUMER STAPLES
TRADE COMPANY URALKERAMIKA-ROSTOV,RU,INDUSTRIALS
Group UTG,RU,INDUSTRIALS
HEKTAR SEEDS SRL,RO,CONSUMER STAPLES
Stiftung Jupident,AT,INDUSTRIALS
NTT OOO,RU,INDUSTRIALS
Group CWP Europe,RS,UTILITIES
VEGA CHARGING SHPK,AL,CONSUMER DISCRETIONARY
ATTA-CSÕ Ipari és Kereskedelmi Kft.,HU,NOT RELEVANT
"Alu-Rock Ipari , Kereskedelmi és Sz",HU,NOT RELEVANT
HELIA TRADE SPOL S R O,CZ,NOT RELEVANT
MARCO SHIPPING S.R.O.,CZ,NOT RELEVANT
"OBCHODNÍ DRUZSTVO OPAVA-KATERINKY """,CZ,NOT RELEVANT
Watzinger Ges.m.b.H.,AT,INDUSTRIALS
HOLLEMAN TRANSPORT D.O.O.,RS,INDUSTRIALS
group chemical agrosava,RS,MATERIALS
"IMUNA PHARM, a.s.",SK,HEALTH CARE
PAP-PROMET D.O.O.,HR,INDUSTRIALS
EPITSENTR-K,UA,CONSUMER DISCRETIONARY
Docke Extrusion,RU,INDUSTRIALS
JetStream Hungary Távközlési és Szo,HU,COMMUNICATIONS
A-Leasing Spa,IT,NOT RELEVANT
Lagerhausgenossenschaft Schärding a,AT,CONSUMER STAPLES
Group EVER Pharma,AT,HEALTH CARE
"SVJ Sidliste 442 a 443, Touzim",CZ,REAL ESTATE
"TOV ""OPTIMATREIDINH""",UA,HEALTH CARE
Group Packeta,CZ,INDUSTRIALS
TELLY S R O,CZ,COMMUNICATIONS
LIMITED LIABILITY COMPANY KORN FERR,UA,INDUSTRIALS
PP 'VALENTINA',UA,CONSUMER STAPLES
HON-ING D.O.O.,HR,MATERIALS
GAZETA EXPRESS SH.P.K,XK,COMMUNICATIONS
OVT LOGISTICZENTRUM S R L,RO,INDUSTRIALS
Vendible Solar Systems Zártkörûen M,HU,NOT RELEVANT
Unger International Holding,AT,INDUSTRIALS
"Bytovy dum Auerswald, BD",CZ,REAL ESTATE
PPMEBLEVA FABRIKAMIRT,UA,CONSUMER DISCRETIONARY
NOVA LLC,RU,MATERIALS
Agrimill Kereskedelmi és Szolgáltat,HU,CONSUMER STAPLES
ALDI s.r.o.,SK,CONSUMER DISCRETIONARY
Renewable Energy Storage Korlátolt,HU,INDUSTRIALS
Ing. Hans Bodner Baugesellschaft m.,AT,INDUSTRIALS
COPPER COM DOO UZICE,RS,INDUSTRIALS
VSC LLC,RU,INDUSTRIALS
TMK LLC,RU,CONSUMER STAPLES
ASP-AQUA LLC,RU,ENERGY
STELLA LTD,RU,CONSUMER DISCRETIONARY
Pöllmann & Partner GmbH,AT,INDUSTRIALS
Grünes Kreuz - Rettung und Soziale,AT,INDUSTRIALS
GROUP BOIRON,FR,HEALTH CARE
Raiffeisen-Lagerhaus St. Pölten,AT,CONSUMER STAPLES
EKOINSTAL HOLDING SP Z O O SPOLKA K,PL,INDUSTRIALS
KUZBASSSTROIMONTAZH OOO,RU,MATERIALS
"Zelenay Ingrid, PhDr.",SK,INDUSTRIALS
GROUP PRO.MED.CS,RU,HEALTH CARE
Group International Alexander,RO,INDUSTRIALS
VESTA TRAILERS DOO,RS,INDUSTRIALS
BUSINESS SOFTWARE GmbH,AT,INFORMATION TECHNOLOGY
Systemic Reinigungstechnik Ges.m.b.,AT,CONSUMER DISCRETIONARY
SWISS MEDICAL SERVICES Egészségügyi,HU,HEALTH CARE
PRUTUL AGRI TRADE SRL,RO,CONSUMER STAPLES
DR MUSTAFA BEGANOVIC JZU OPCA BOLNI,BA,HEALTH CARE
Raiffeisen Tirol Versicherungsmakle,AT,FINANCIALS
MARELBO PROD COM SRL,RO,CONSUMER DISCRETIONARY
ZAO MEKHANIZATOR,RU,REAL ESTATE
ERICSSON DOO BEOGRAD,RS,INFORMATION TECHNOLOGY
Grászli János Ferenc,HU,CONSUMER DISCRETIONARY
GROUP EXATA,SK,CONSUMER STAPLES
LIVIO-DARIO SRL,RO,INDUSTRIALS
JULIUS MEINL Industrieholding GmbH,AT,CONSUMER STAPLES
TOTALENERGIES MARKETING SERBIA DOO,RS,INDUSTRIALS
Senova Kunststoffe GmbH & Co.KG,AT,MATERIALS
"1039 Budapest III. ker., Juhász Gyu",HU,REAL ESTATE
PORSCHE CESKA REPUBLIKA S R O,CZ,CONSUMER DISCRETIONARY
Subgroup Panzani,FR,CONSUMER STAPLES
GROUP ACOMO N.V.,NL,CONSUMER STAPLES
REMET SPOL S R O,CZ,MATERIALS
BRODOMERKUR D.D.,HR,CONSUMER DISCRETIONARY
Chishminskiy OEP LLC,RU,CONSUMER STAPLES
GROUP DJURDJEVIC,RS,CONSUMER STAPLES
VEZ FARMACHEM D.O.O.,HR,HEALTH CARE
SUBGROUP VNG CONSOLIDATED,DE,UTILITIES
NAGYKUN-HÚS Húsipari és Kereskedelm,HU,CONSUMER STAPLES
Schoeller-Bleckmann Oilfield Equipm,GB,ENERGY
Telekom Austria Aktiengesellschaft,AT,COMMUNICATIONS
POMADIL COM SRL,RO,CONSUMER STAPLES
"SV Hoblikova 10, Brno",CZ,REAL ESTATE
BuildinTec Ingatlankezelõ és Szolgá,HU,INDUSTRIALS
AVTOTRANSPARK OOO,RU,INDUSTRIALS
Philips Consumer Lifestyle B.V.,NL,CONSUMER DISCRETIONARY
Subgroup Ferdinand Porsche AG,DE,CONSUMER DISCRETIONARY
Irkutsk Oil Company OOO,RU,ENERGY
SECOND FOUNDATION TRADING AG,DE,UTILITIES
WOOD PAPER A S,CZ,MATERIALS
SALKANOVIC TISLERAJ DOO ZA PRO I PR,BA,INDUSTRIALS
"TOV ""Interkoll Servisez""",UA,INFORMATION TECHNOLOGY
PSB-GEM-HOLZ JSC,RU,MATERIALS
EMPWR HOLDING NETHERLANDS B.V.,NL,CONSUMER STAPLES
MALFINI A S,CZ,CONSUMER DISCRETIONARY
AO AVV-EYNERGO,RU,INDUSTRIALS
"TOV ""Lozynka""",UA,CONSUMER DISCRETIONARY
"MYKO, s.r.o.",SK,REAL ESTATE
GROUP EuroChimService,RU,MATERIALS
MODRA STIJENA DOO SIROKI BRIJEG,BA,MATERIALS
JSC ACCORD GC,RU,INDUSTRIALS
LIMITED COMPANY KREDO TRANS,RU,INDUSTRIALS
Herzer Bau- und Transport GmbH,AT,INDUSTRIALS
ELITON TRANS SRL,RO,INDUSTRIALS
AGROWEST SRL,RO,CONSUMER STAPLES
bad 2000 GmbH,AT,INDUSTRIALS
"SVJ Cyrilometod. nam. 11-12,OL",CZ,REAL ESTATE
GROUP IRIDATO,RU,CONSUMER DISCRETIONARY
KOMILESBIZNES OOO,RU,MATERIALS
"DS OPERATOR, a.s.",SK,CONSUMER DISCRETIONARY
Group PTT Serbia,RS,INDUSTRIALS
IP RADOTIN S R O,CZ,INDUSTRIALS
VOLKERT-HERGOUTH-BRKIC D.O.O. KUTIN,HR,NOT RELEVANT
RABALUX RASVJETA D.O.O.,HR,NOT RELEVANT
ARRABONA Logisztikai Centrum Ingatl,HU,NOT RELEVANT
GIMPEX GOSPODARSKA VOZILA,HR,NOT RELEVANT
GROUP KRAFTINVEST,RU,NOT RELEVANT
PETINA D.O.O.,HR,NOT RELEVANT
KREATIVKA D.O.O.,HR,NOT RELEVANT
ORANICE D.O.O.,HR,NOT RELEVANT
SPURA DOO BIHAC,BA,NOT RELEVANT
EURASIAN PIPE-LINE CONSORTIUM OOO,RU,NOT RELEVANT
OMSKENERGOPROM OOO,RU,INDUSTRIALS
Univerzál Kereskedelmi Zrt.,HU,CONSUMER DISCRETIONARY
ZASU PROM DOO SARAJEVO,BA,NOT RELEVANT
VAM BILDINING OOO,RU,NOT RELEVANT
OOO TG DIRIZHABL,RU,NOT RELEVANT
CHELYABINSKIY EKSPERIMENTALNIY,RU,NOT RELEVANT
DARTA TRGOVINA DOO,BA,NOT RELEVANT
ALLSYS  ENERGY,RO,NOT RELEVANT
EUROMAR AGENT D. O. O.,HR,NOT RELEVANT
BRIJEG D.O.O.,HR,NOT RELEVANT
"""Termelés-Logistic-Centrum"" Kereske",HU,MATERIALS
"AXL, akciova spolecnost",CZ,INDUSTRIALS
BPS LIPONOVA S R O,CZ,CONSUMER STAPLES
TK SITI-SEYLS,RU,CONSUMER STAPLES
Lukácsné Drágár Judit Zsuzsanna,HU,NOT RELEVANT
URALKALI TRADING SIA,RU,MATERIALS
CAVALIERE SHPK,AL,CONSUMER STAPLES
"TOV ""TPK-PROFIL'-GP""",UA,MATERIALS
ELMIB ELSÕ MAGYAR INFRASTRUKTÚRA BE,HU,INDUSTRIALS
VOINEASA GREEN ENERGY SRL,RO,UTILITIES
MEBIS SA,RO,NOT RELEVANT
ARM UKRAINE LLC,UA,INDUSTRIALS
"GRAND TOURS 2000 Idegenforgalmi, Ke",HU,CONSUMER DISCRETIONARY
Master Plast Ukrajna,UA,INDUSTRIALS
FRUCTA TRADE DOO DERVENTA PJ HIPER,BA,CONSUMER STAPLES
"TOV ""Pan Aptekar""",UA,CONSUMER STAPLES
"OTP TÁRSASHÁZ KÖZÖSSÉG Gyõr, Bajcsy",HU,REAL ESTATE
PREFELECTRIQUE,FR,INDUSTRIALS
ALEKSANDAR GRADNJA,RS,NOT RELEVANT
DENIMPEX SRL,RO,NOT RELEVANT
"OHLA ZS Slovakia, a.s.",SK,INDUSTRIALS
ABW9E2,RU,NOT RELEVANT
TRGOPLASTTRANS  DOO GRACANICA,BA,INDUSTRIALS
External economic Distributor fir,RU,HEALTH CARE
SRDA COMMERC DOO ZENICA,BA,CONSUMER STAPLES
ÉPDUFERR Építõipari-Szolgátlató-Man,HU,INDUSTRIALS
CENTRALNAYA PPK OAO,RU,INDUSTRIALS
"Food Lion, LLC",US,CONSUMER STAPLES
"TOV ""Sitka Zakhid Hrup""",UA,INDUSTRIALS
"VTOV ""TEPLOPRYBOR""",UA,REAL ESTATE
EKO PLUS DOO SARAJEVO,BA,INDUSTRIALS
TRANSALBANIA SHPK,AL,INDUSTRIALS
DJANA COMMERC DOO BOSANSKA  KRUPA,BA,CONSUMER STAPLES
TOV ZERNOTREID,UA,INDUSTRIALS
"INTREND SPOL. S R.O., V LIKVIDACI",CZ,CONSUMER DISCRETIONARY
MERKANTA spol. s r.o.,SK,CONSUMER STAPLES
SIBERIAN ENERGY COMPANY JOINT-STO,RU,UTILITIES
"TDV ""ZAVOD KVARTS""",UA,INFORMATION TECHNOLOGY
TÁRSASHÁZ BP. I. KER. MÉSZÁROS U. 6,HU,REAL ESTATE
PROMYSHLENNIE TEKHNOLOGII,RU,CONSUMER STAPLES
TOV PORT-SERVIS,UA,INDUSTRIALS
"SCHINDLER ESKALATORY, s.r.o.",SK,INDUSTRIALS
"CSP ""ZAHOTZERNO""",UA,NOT RELEVANT
TOV 'VIuK'Ahat',UA,NOT RELEVANT
GELTSCHBERG S R O,CZ,NOT RELEVANT
Ivolga-Holding LLP,KZ,NOT RELEVANT
DP-ZALIV DOO CRVENKA,RS,INDUSTRIALS
TD VERTIKAL OOO,RU,INDUSTRIALS
"TSOOTVETSTVENNOST'IU""  YVTEKS""",UA,INDUSTRIALS
TOV 'PIVDENBUD',UA,INDUSTRIALS
DERLINGO s.r.o.,SK,MATERIALS
BOURBON AUTOMOTIVE PLASTICS HOLDING,FR,CONSUMER DISCRETIONARY
"PAT ""Zaporizhkhimbudopttorh""",UA,REAL ESTATE
PPL CZ S.R.O.,CZ,CONSUMER DISCRETIONARY
VINEXPERT SRL,RO,CONSUMER DISCRETIONARY
GRADPROM D.O.O.,HR,INDUSTRIALS
Jüllich Glas Vagyonkezelõ és Vagyon,HU,REAL ESTATE
TOV 'Soiuz -D2-S',UA,NOT RELEVANT
V.I.P. PUBLIC RELATIONS S.R.O. V LI,CZ,NOT RELEVANT
GMG MANAGEMENT SRL,RO,INDUSTRIALS
OOO GLOBAL FUD PROSTOR,RU,CONSUMER DISCRETIONARY
MPP Kalyna,UA,CONSUMER DISCRETIONARY
TERRA PRODUCT CO DOO PALE,BA,MATERIALS
PANEBO 94 SRL,RO,NOT RELEVANT
KLIVER OOO,RU,ENERGY
GROUP Ahroprodukt,UA,CONSUMER STAPLES
VUPIK D.D.,HR,CONSUMER STAPLES
GROUP Ukrlan,UA,CONSUMER STAPLES
SKV INZENJERING DOO - U STECAJU,RS,INDUSTRIALS
UPK-NN OOO,RU,MATERIALS
KIKA Immobilien GmbH,AT,CONSUMER DISCRETIONARY
Dávid Tabak Kereskedelmi Bt.,HU,CONSUMER STAPLES
OBANEX KERESKEDELMI ÉS  SZOLGÁLTATÓ,HU,CONSUMER STAPLES
"HP - KOVO, SPOL.S R.O.",CZ,MATERIALS
BALTKO OBSHCHESTVO S OGRANICHENNO,RU,CONSUMER STAPLES
"Lekaren 16, s. r. o.",SK,CONSUMER DISCRETIONARY
EFEKTA DOO POSUSJE,BA,CONSUMER DISCRETIONARY
"FIMM CONSULT CZ, S.R.O. V LIKVIDACI",CZ,CONSUMER DISCRETIONARY
TRANSLEASING LTD,RU,INDUSTRIALS
Szarvasi Vas-Fémipari Zrt.,HU,CONSUMER DISCRETIONARY
LLC DDK,RU,CONSUMER DISCRETIONARY
Kelemen Béla u. 42-50. Társasház -,HU,REAL ESTATE
Graphisoft Park South I. Korlátolt,HU,REAL ESTATE
TURBO'S HOET ROMANIA,RO,CONSUMER DISCRETIONARY
STILLMARK D.O.O.,SI,CONSUMER DISCRETIONARY
CER AD CACAK,RS,INDUSTRIALS
Stroimarket OOO,RU,INDUSTRIALS
PRINZ ADRIATIC D.D. U STECAJU,HR,NOT RELEVANT
GROUP AGROFAM,RO,CONSUMER STAPLES
Kalocsai Konfekcióipari Kft.,HU,CONSUMER DISCRETIONARY
PP MP DZHAZ,UA,CONSUMER STAPLES
Marynova Alla Vasylivna,UA,REAL ESTATE
Mestske lesy Kosice a.s.,SK,MATERIALS
PANNONCOM-KÁBEL Kereskedelmi és Szo,HU,NOT RELEVANT
SSH HIDROSERV SA SUCURSALA SLATINA,RO,INDUSTRIALS
JHG JUCHHEIM HANDELS GMBH,DE,MATERIALS
ZUB.RU MAYAKOVSKAYA,RU,HEALTH CARE
AMPLITUDE ORTHO SRL,RO,HEALTH CARE
ENVY D.O.O.,HR,CONSUMER DISCRETIONARY
MATICA D.O.O. U STECAJU,HR,INDUSTRIALS
IMAO group a.s.,SK,INDUSTRIALS
L-PAK OOO,RU,MATERIALS
Bik Bok GmbH,AT,CONSUMER DISCRETIONARY
MEDIA 66 SHPK,AL,CONSUMER DISCRETIONARY
GROUP Akva Vita,UA,CONSUMER STAPLES
GALLUS KFT,HU,CONSUMER STAPLES
San Zeno Acciai-Duferco S.r.l.,IT,MATERIALS
GROUP INTEREUROPA,SI,INDUSTRIALS
GROUP MOLOCHNOE DELO,RU,CONSUMER STAPLES
Fiat Chrysler Finance Europe,US,CONSUMER DISCRETIONARY
FIRO-tour a.s.,CZ,CONSUMER DISCRETIONARY
"TURWOOD, s.r.o.",SK,INDUSTRIALS
OOO MOSENERGOPROEKT,RU,UTILITIES
"SV Nepomucka 12,14, Plzen",CZ,REAL ESTATE
Diageo PLC,GB,CONSUMER STAPLES
REUTERS FINANCE PLC,GB,NOT RELEVANT
OJSC Kristall-2,RU,CONSUMER STAPLES
Femco-Management Ltd,RU,INDUSTRIALS
Metzgerei Senninger GmbH,AT,CONSUMER STAPLES
SUBGROUP Confectionery,UA,CONSUMER STAPLES
INSKY SPOL. S R.O.,CZ,NOT RELEVANT
Barta András,HU,NOT RELEVANT
STIS-VORONEZH OOO,RU,INDUSTRIALS
Neubeller Martin,SK,NOT RELEVANT
UNICENTRÁL-Daruszervíz Szolgáltató,HU,NOT RELEVANT
EUC HOLDING A S,CZ,HEALTH CARE
TOUAX SCA,FR,INDUSTRIALS
Tele2 Telecommunication GmbH,AT,COMMUNICATIONS
GORNYY AVTODOR AO,RU,INDUSTRIALS
AL'YANS,RU,INDUSTRIALS
FARMACIA ALCOR SRL,RO,CONSUMER STAPLES
MVM MOTORS DOO PREDUZ.ZA PROM. I S,RS,NOT RELEVANT
MAJOR-AUTO OOO,RU,NOT RELEVANT
BILJEMERKANT D.O.O.,HR,CONSUMER STAPLES
"MEVATEC, spol. s r.o.",CZ,CONSUMER DISCRETIONARY
"TOV ""RIVA-TREID""",UA,CONSUMER STAPLES
LAUN OOO,RU,CONSUMER DISCRETIONARY
ECOTRANS INGATLAN Hasznosító és Szo,HU,NOT RELEVANT
EKA ELEKTR.KÉSZÜLÉKEK ÉS ANY.GYÁRA,HU,NOT RELEVANT
NFS CINK D.O.O.,HR,NOT RELEVANT
ROTARY PARK SRL,RO,CONSUMER DISCRETIONARY
MINDIMMO Zrt.,HU,FINANCIALS
MANDIS D.O.O.,HR,COMMUNICATIONS
GROUP VIC,RU,HEALTH CARE
FAMM DOO  BRCKO,BA,INDUSTRIALS
NOVAK VOJTECH,CZ,NOT RELEVANT
BRAJIC ALEKSE SZR PMP SLEPCEVIC,RS,CONSUMER STAPLES
TRANS-STROI,RU,MATERIALS
"TOV ""Tek Treid Yukrein""",UA,CONSUMER DISCRETIONARY
ROSTAGROKOMPLEKS OOO,RU,CONSUMER STAPLES
EKAMET OOO,RU,INDUSTRIALS
TEMAD CO SRL,RO,NOT RELEVANT
QUITMANN FURNITURE LTD.,GB,CONSUMER DISCRETIONARY
B.C.-VELVET SZOLGÁLTATÓ KFT.,HU,NOT RELEVANT
Ing. Jan Plandora - POLYGON,SK,NOT RELEVANT
Minusz Diszkont Kereskedelmi és Szo,HU,NOT RELEVANT
TP-MAK D.O.O.,HR,NOT RELEVANT
"Hatalcikova Mariena, Ing.",SK,NOT RELEVANT
LDM EXPORT-IMPORT DOO BEOGRAD,RS,NOT RELEVANT
"Grobarcik Rastislav, Ing.",SK,NOT RELEVANT
"Nad Lubos, Mgr.",SK,NOT RELEVANT
MM Frohnleiten GmbH,AT,MATERIALS
JSC CFT,RU,FINANCIALS
MTSSM EVROMED OOO,RU,HEALTH CARE
OOO SPP,RU,CONSUMER DISCRETIONARY
GROUP Praha Avto,UA,CONSUMER DISCRETIONARY
"Berettyóújfalu, Bessenyei ltp.16-17",HU,REAL ESTATE
"Koala Tours, a.s.",SK,CONSUMER DISCRETIONARY
UNIVERS-CO DOO BEOGRAD,RS,CONSUMER DISCRETIONARY
WHO WORLD HEALTH ORGANIZATION OFFIC,DK,HEALTH CARE
AVIRTA A S,CZ,REAL ESTATE
ROCHE FINANCE EUROPE B V,NL,HEALTH CARE
"""GSG"" Gesellschaft für Stadtentwick",AT,REAL ESTATE
"TP SLOVAN, s.r.o.",SK,INDUSTRIALS
V.D.S. SZERVIZ Szolgáltató Kft.,HU,INDUSTRIALS
DUM NA SAFRÁNCE S.R.O. V LIKVIDACI,CZ,REAL ESTATE
"Nyíregyháza, Korányi köz 1-11. Társ",HU,REAL ESTATE
GROUP PAVGORD,BA,INDUSTRIALS
Hegyvidék Tabak Bt.,HU,CONSUMER STAPLES
KEIP OOO,RU,CONSUMER DISCRETIONARY
"PROGAST, spol. s r.o.",SK,CONSUMER STAPLES
PILATUS A.S.,CZ,INDUSTRIALS
Gold-Pack spol. s r.o.,SK,MATERIALS
GROUP PIVKA,HR,CONSUMER STAPLES
GROUP SNS,RU,CONSUMER STAPLES
Kazanlak krt. 12. Társasház Lakóköz,HU,REAL ESTATE
Lafarge S.A.,FR,MATERIALS
Szeged Tabán u. 3. Társasház,HU,REAL ESTATE
SANDOZ D.D.,CH,HEALTH CARE
"PAT ""DTEK Kyivski rehionalni merezh",UA,CONSUMER STAPLES
Lövölde u. 2-8 Társasház,HU,REAL ESTATE
MHP S.A.,LU,CONSUMER STAPLES
PRO-MAX BETON DOO BEOGRAD,RS,INDUSTRIALS
FIRMA S-2 OOO,RU,CONSUMER STAPLES
RENAULT SAS,FR,CONSUMER DISCRETIONARY
DUMMY_SWITZERLAND_EQUITY,CH,NOT RELEVANT
Group Vorwerk,DE,CONSUMER DISCRETIONARY
JKP STANDARD VRBAS,RS,UTILITIES
TD DF LLC,RU,CONSUMER STAPLES
"Ondriskovic Robert, Ing.",SK,INDUSTRIALS
LIFIRE A S,CZ,CONSUMER DISCRETIONARY
DUVENBECK LOGISTIK SP.Z.O.O,PL,INDUSTRIALS
OOO ARTEMOVETS,RU,CONSUMER STAPLES
CSC CZECH SERVICE CARGO S.R.O. V LI,AT,INDUSTRIALS
GROUP URAL-SKO,RU,MATERIALS
HYPEROPTIC LTD OGRANAK,RS,COMMUNICATIONS
Waler PTE Ltd,SG,ENERGY
Nexperia Holding B.V.,NL,INFORMATION TECHNOLOGY
INTER RAO - ENGINEERING LLC,RU,UTILITIES
"Drager Slovensko, s.r.o.",SK,HEALTH CARE
RALU DOO BEOGRAD,RS,INDUSTRIALS
VÉGI VEGYI Kereskedelmi és Szolgált,HU,CONSUMER DISCRETIONARY
GASCONTROL PLAST A S,CZ,INDUSTRIALS
DSM NUTRITIONAL PRODUCTS SRB D.O.O,RS,CONSUMER STAPLES
Lazne Teplice nad Becvou a.s.,CZ,HEALTH CARE
S.T.D. D.O.O.,HR,INDUSTRIALS
"INTER-BUSINESS Befektetõ,Tanácsadó,",HU,REAL ESTATE
DARAMIS HOLDINGS LIMITED,CY,REAL ESTATE
CHOA RUBEZH OOO,RU,INDUSTRIALS
BLAGO MANAGEMENT COMPANY LLC,RU,CONSUMER STAPLES
TQSR Immobilien GmbH,AT,CONSUMER STAPLES
GROUP Thege,HU,INDUSTRIALS
DOPRAVNI PODNIK KARLOVY VARY A S,CZ,INDUSTRIALS
DANISH FIUID SYSTEM TECHNOLOGIES,DK,INDUSTRIALS
Group Frasers,GB,CONSUMER DISCRETIONARY
OBI Group Holding SE & Co KGaA,DE,CONSUMER DISCRETIONARY
Boris,CY,FINANCIALS
NBN GROUP D.O.O. BEOGRAD,RS,CONSUMER DISCRETIONARY
BP CORPORATION NORTH AMERICA,US,ENERGY
Group Uvex,DE,INDUSTRIALS
"TOV ""HALYCHFARM""",UA,HEALTH CARE
Group ITV,GB,CONSUMER DISCRETIONARY
DELTA FONDACIJA,RS,NOT RELEVANT
AGM TOTAL SPED SRL,RO,INDUSTRIALS
RAPPORTO OOO,RU,INFORMATION TECHNOLOGY
OAO STROITREST N3 ORDENA OKTYABRSKO,BY,INDUSTRIALS
Pilulka Lekarny a.s.,CZ,CONSUMER STAPLES
AIC RENT S.R.L.,RO,INDUSTRIALS
SLAVYANSKAYA APTEKA OOO,RU,HEALTH CARE
DAR ZLATARNA SZR VL SARACEVIC NIRME,BA,CONSUMER DISCRETIONARY
SFL technologies Kft.,HU,NOT RELEVANT
Group NTS Holding GmbH,AT,INFORMATION TECHNOLOGY
INFORM LYKOS SA,RO,INFORMATION TECHNOLOGY
"TOV ""Viliia-Treid""",UA,CONSUMER STAPLES
Westfleisch Magyarország Kereskedel,HU,CONSUMER STAPLES
Medisupport a.s.,CZ,HEALTH CARE
Diverse Forderungen DS Smith,DE,MATERIALS
3 TERM DOO,RS,INDUSTRIALS
Toyota Material Handling Slovensko,SK,INDUSTRIALS
JP BH POSTA SARAJEVO CENTAR POSTA S,BA,INDUSTRIALS
SV Haskova 666 Karvina-Raj,CZ,REAL ESTATE
HÁROM-PROFIT Korlátolt Felelõsségû,HU,CONSUMER STAPLES
JSC Nizhpharm,RU,HEALTH CARE
"TOV ""Fabryka Budivelnykh",UA,MATERIALS
"Várpalotai Személy,- és Áruszállító",HU,NOT RELEVANT
SECURITY EXPERT LLC,RU,INDUSTRIALS
Café Frei International Zártkörûen,HU,INDUSTRIALS
SVJ Bilinska 510,CZ,REAL ESTATE
Group Artax,AT,CONSUMER STAPLES
"TOV ""Yakabu Pablishing""",UA,CONSUMER DISCRETIONARY
PKE Immo Karlsruhe GmbH,DE,REAL ESTATE
Group United Biscuits,GB,CONSUMER STAPLES
GROUP BRUNSWICK,RU,INDUSTRIALS
