CUSTOMER NAME,COUNTRY OF RISK,GICS_NAME_P
HI-TECH MEDIA LLC,RU,INFORMATION TECHNOLOGY
"TOV ""Fort-Servis""",UA,CONSUMER DISCRETIONARY
ALKO-PLYUS OOO,RU,CONSUMER STAPLES
LLC ASWERY,RU,CONSUMER DISCRETIONARY
OOO DILER-U,RU,CONSUMER DISCRETIONARY
GROUP SINFONIKA,SI,NOT RELEVANT
GLAM FOR YOU D.O.O.,HR,NOT RELEVANT
DP KAKhOVSKE LISOVE HOSPODARSTVO,UA,NOT RELEVANT
NAJ 95 D.O.O.,HR,NOT RELEVANT
REGIA AUTONOMA AEROPORTUL ORADEA,RO,INDUSTRIALS
Nyrstar NV,BE,MATERIALS
ZAVOD SPETSAGREGAT OOO,RU,INDUSTRIALS
Electricity Supply Pension,GB,UTILITIES
ELMÛ-ÉMÁSZ Energiaszolgáltató Zártk,HU,UTILITIES
PSYCHIATRICKÁ NEMOCNICE KOSMONOSY,CZ,HEALTH CARE
EMAIL SERVICE S R O,CZ,INDUSTRIALS
DUHA - FOND,SK,NOT RELEVANT
Kiss B. Ker Kereskedelmi és Szolgál,HU,CONSUMER STAPLES
Rostislav Hanys,CZ,INDUSTRIALS
TD NM OOO,RU,CONSUMER DISCRETIONARY
BEBE SUPERMARKET INVESTMENTS SRL,RO,CONSUMER STAPLES
SNEZHINKA OOO,RU,CONSUMER STAPLES
LIZING-TREID,RU,FINANCIALS
VMD MODEL D.O.O.,HR,REAL ESTATE
AMG Invest GmbH,DE,MATERIALS
PURECO Környezetvédelmi és Gazdaság,HU,INDUSTRIALS
OLBITEYK OOO,RU,INDUSTRIALS
CERTUS MERCATUS KORLATOLT FELELOSSE,HU,CONSUMER DISCRETIONARY
RAFINERIJA NAFTE AD BROD,BA,ENERGY
ZELTWANGER AMT S R O,CZ,INDUSTRIALS
"FOLTRANS, s. r. o.",SK,INDUSTRIALS
AREAL CONSTRUCT SRL,RO,NOT RELEVANT
N.T.P. EUROROKA,XK,NOT RELEVANT
AEROLAND s.r.o.,SK,NOT RELEVANT
Somlai Motors Kereskedelmi és Szolg,HU,NOT RELEVANT
"GLOBE METAL & FINANCE, a.s.",SK,NOT RELEVANT
GAMEX Kereskedelmi és Szolgáltató B,HU,NOT RELEVANT
C.S.R. Immo Ingatlanforgalmazó Kft.,HU,REAL ESTATE
TOP DESIGN Ingatlanhasznosító és Ta,HU,REAL ESTATE
