name,industry,frequency
Amazon EU DE,CONSUMER DISCRETIONARY,3
Amazonen-Werke H. Dreyer GmbH & Co.,INDUSTRIALS,3
Amoena,HEALTH CARE,3
Amoena Management Holding,HEALTH CARE,3
Amoena Medizin-Orthopädie-,HEALTH CARE,3
Amorinde Vermietungsgesellschaft mb,INDUSTRIALS,3
Amprion,UTILITIES,3
Andia International,CONSUMER DISCRETIONARY,3
Andritz MAERZ,INDUSTRIALS,3
Anheuser-Bush Inbev Deutschland Gmb,CONSUMER STAPLES,3
Ann Christine Fashion-Holding,CONSUMER DISCRETIONARY,3
Antel Germany,NOT RELEVANT,3
Apleona,INDUSTRIALS,6
Apleona Bain,INDUSTRIALS,3
Apleona Holding,INDUSTRIALS,3
Apollo Gebäudedienste,INDUSTRIALS,3
Aqipa,INFORMATION TECHNOLOGY,3
Ara VAC TopCo,INFORMATION TECHNOLOGY,3
Arbeiterwohlfahrt Stadtkreis Gießen,HEALTH CARE,3
Arcelor Eisenhuttenstadt,NOT RELEVANT,3
Ardagh Metal Beverage,MATERIALS,3
Ardagh Metal Beverage Beteiligungs,NOT RELEVANT,3
Ardagh Metal Packaging Germany,MATERIALS,3
Aristo Pharma,HEALTH CARE,3
Aroundtown,REAL ESTATE,3
Asklepios,HEALTH CARE,3
Asklepios Kliniken GmbH & Co.,HEALTH CARE,3
Asterix AcquiCo,CONSUMER STAPLES,3
AstraZeneca,HEALTH CARE,3
Atlas Maschinen GmbH. - technikai,INDUSTRIALS,3
Atos Kliniken,HEALTH CARE,3
Atruvia,INFORMATION TECHNOLOGY,3
Audi München,CONSUMER DISCRETIONARY,3
August Storck,CONSUMER STAPLES,3
Aunde,CONSUMER DISCRETIONARY,3
Aurelis,REAL ESTATE,3
Aurelis Real Estate GmbH & Co.,REAL ESTATE,3
Aurelius,CONSUMER DISCRETIONARY,3
Aurelius Alpha Invest,INDUSTRIALS,3
Aurigon GmbH.,INDUSTRIALS,3
Aurubis,MATERIALS,6
Austria Leasing,FINANCIALS,3
Austria Leasing Beteiligungsgesells,FINANCIALS,3
Austria Leasing GmbH & Co. Immobili,INDUSTRIALS,3
Austria Leasing GmbH & Co. KG Immob,INDUSTRIALS,3
Austria Leasing Immobilienverwaltun,FINANCIALS,3
Autohaus Brass Vertriebs GmbH &,CONSUMER DISCRETIONARY,3
Automobil-Verkaufs-Gesellschaft Jos,CONSUMER DISCRETIONARY,3
Automotive,MATERIALS,3
Automotive Comp.,MATERIALS,3
Aviv,CONSUMER DISCRETIONARY,3
Axel Springer,CONSUMER DISCRETIONARY,3
Axel Springer,NOT RELEVANT,3
Axel Springer hy,INFORMATION TECHNOLOGY,3
Azimut Hotelbetrieb Berlin,CONSUMER DISCRETIONARY,3
Azimut Hotelbetrieb Köln,CONSUMER DISCRETIONARY,3
Azimut Hotelbetrieb Nürnberg,CONSUMER DISCRETIONARY,3
Azurit,HEALTH CARE,3
B. Braun,HEALTH CARE,3
B. Braun Melsungen Aktiengesellscha,HEALTH CARE,3
B. H.,CONSUMER DISCRETIONARY,3
B. H. Holding,CONSUMER DISCRETIONARY,3
B1-Real Estate,REAL ESTATE,3
B1-Real Estate AB,REAL ESTATE,3
B2X,INFORMATION TECHNOLOGY,3
B2X Care Solutions,INFORMATION TECHNOLOGY,3
BAA Boysen Abgassysteme Achim,CONSUMER DISCRETIONARY,3
BADER VERWALTUNGSGESELLSCHAFT MBH,CONSUMER DISCRETIONARY,3
BAK BOYSEN ABGASKOMPONENTEN GMBH CO,CONSUMER DISCRETIONARY,3
BAP BOYSEN ABGASSYSTEME PLAUEN,CONSUMER DISCRETIONARY,3
BARELY DIGITAL GMBH & CO.KG,INFORMATION TECHNOLOGY,3
BASF,MATERIALS,6
BASF Personal Care and Nutrition Gm,MATERIALS,3
BAUER MASCHINEN,NOT RELEVANT,3
BAUER ROMANIA,INDUSTRIALS,3
BAUKNECHT HAUSGERATE,NOT RELEVANT,3
BAUSCH STROBEL SE CO,INDUSTRIALS,3
BAVARIA INDUSTRIEKAPITAL,NOT RELEVANT,3
BAVARIA INDUSTRIEKAPITAL AG SINGLE,FINANCIALS,3
BAYWA R.E.,UTILITIES,3
BBE DOMOFERM,INDUSTRIALS,3
BBF BIKE,CONSUMER DISCRETIONARY,3
BDSK Handels GmbH & Co.,CONSUMER DISCRETIONARY,3
BEARINGPOINT,INDUSTRIALS,3
BEFESA ALUMINIUM GERMANY,INDUSTRIALS,3
BENTELER AUTOMOBILTECHNIK,CONSUMER DISCRETIONARY,3
BEPRO BLECH UND PROFILSTAHL HANDELS,INDUSTRIALS,3
BERLIN CHEMIE AG PREDSTAVNISTVO U B,COMMUNICATIONS,3
BERLIN-CHEMIE Aktiengesellschaft,HEALTH CARE,3
BERNARD KRONE,INDUSTRIALS,3
BETON TESOVICE SPOL S R,INDUSTRIALS,3
BETONBAU HOLDING,INDUSTRIALS,3
BHS,INDUSTRIALS,3
BIHA CNC DOO BIHAC,INDUSTRIALS,3
BINDER HOLZ Deutschland,NOT RELEVANT,3
