name,industry,frequency
B M COMMERCE DOO,CONSUMER DISCRETIONARY,4
B&B - VUCKO DOO PREDSTAVNISTVO,CONSUMER DISCRETIONARY,4
B&H AIRLINES,INDUSTRIALS,4
BA BOSNIA AGILE,INDUSTRIALS,4
BABIC BISSTOURS DOO,INDUSTRIALS,4
BABIC DOO GRADJEVINSKO TRGOVACKO PR,INDUSTRIALS,4
BABILON DOO,INDUSTRIALS,4
BADZO PLUS DOO BRCKO DISTRIKT BIH,MATERIALS,4
BAFA,NOT RELEVANT,4
BAGI,CONSUMER DISCRETIONARY,4
BAJRA DOO,CONSUMER STAPLES,4
BAJRIC DOO,CONSUMER STAPLES,4
BAJRIC DOO,INDUSTRIALS,4
BAKALAR KOMERC DOO TREBIZAT CAPLJIN,CONSUMER STAPLES,4
BAKIJE UG POKOPNO DRUSTVO,NOT RELEVANT,4
BAKUS DOO BANJA,CONSUMER STAPLES,4
BALCANICA DOO,CONSUMER DISCRETIONARY,4
BALDI DOO SIROKI,NOT RELEVANT,4
BALEGEM DOO MIONICA I,INDUSTRIALS,4
BALKANSKE ISTRAZIVACKE MREZE UDRUZE,INDUSTRIALS,4
BALKANTINA,CONSUMER DISCRETIONARY,4
BANAKA,INDUSTRIALS,4
BANJA VRUCICA ZTC DOO BANJA VRUCICA,HEALTH CARE,4
BANJALUCKA PIVARA AD BANJA,CONSUMER STAPLES,4
BANOVICI DD RUDNICI MRKOG UGLJA BAN,ENERGY,4
BARBARA DOO ZEPCE,NOT RELEVANT,4
BARE COMMERCE DOO,INDUSTRIALS,4
BAREL DOO,CONSUMER DISCRETIONARY,4
BARIC DOO,CONSUMER DISCRETIONARY,4
BARLAN BH DOO,CONSUMER DISCRETIONARY,4
BARTULA DOO SOKOLAC,CONSUMER DISCRETIONARY,4
BATAGON EEC,CONSUMER STAPLES,4
BATERIJA DOO,CONSUMER DISCRETIONARY,4
BATO PETROL,CONSUMER DISCRETIONARY,4
BATUHAN DOO,CONSUMER DISCRETIONARY,4
BAU & GARTEN DOO,CONSUMER DISCRETIONARY,4
BAU HERC DOO,REAL ESTATE,4
BAUCENTAR MD PROFIL DOO,INDUSTRIALS,4
BAUERFEIND DOO,CONSUMER DISCRETIONARY,4
BAUMIT DOO,INDUSTRIALS,4
BAUPARTNER DOO,INDUSTRIALS,4
BAZICNIH MEDICINSKIH ZNAN,INDUSTRIALS,4
BB NEW LOOK EXPORT IMPORT DOO MOSTA,CONSUMER DISCRETIONARY,4
BBM DOO,INDUSTRIALS,8
BBM NL DOO,INDUSTRIALS,4
BBM VARES DOO VARES,MATERIALS,4
BBS BOSNIEN BUSINESS SYSTEMS DOO SA,INFORMATION TECHNOLOGY,4
BBT GROUP D.O.O.,CONSUMER STAPLES,4
BC SJEME DOO,CONSUMER STAPLES,4
BEAUTY DOO,CONSUMER STAPLES,4
BEGED DOO,INDUSTRIALS,4
BEGEX DOO HADZICI,CONSUMER DISCRETIONARY,4
BEHIC SANNY BOY DOO,INDUSTRIALS,4
BEKAMENT D.O.O,COMMUNICATIONS,4
BELAMI DOO SAMAC,UTILITIES,4
BELIF DOO,CONSUMER STAPLES,4
BELISAR DOO,INDUSTRIALS,4
BELLISSIMA DOO,CONSUMER DISCRETIONARY,4
BELPROM DOO,CONSUMER DISCRETIONARY,4
BEMA DOO BANJA,CONSUMER DISCRETIONARY,4
BEMIS DOO,CONSUMER DISCRETIONARY,4
BENEFIT DOO,CONSUMER DISCRETIONARY,4
BENIS DOO,INDUSTRIALS,4
BENJA AUTOTRANSPORTI DOO KLOKOT DOB,INDUSTRIALS,4
BENTOPRODUCT DOO SIPOVO,MATERIALS,4
BENZ DOO VELIKA,CONSUMER DISCRETIONARY,4
BEOCOMP DOO,CONSUMER DISCRETIONARY,4
BEOGRAD KOM RK DOO,FINANCIALS,4
BERG DOO,HEALTH CARE,4
BERLIJETA DOO,CONSUMER DISCRETIONARY,4
BERLINA DOO,CONSUMER DISCRETIONARY,4
BERNINA DOO SIROKI,CONSUMER STAPLES,4
BERRY SUPERFOS BALKAN DOO,MATERIALS,4
BERSHKA BH DOO,CONSUMER DISCRETIONARY,4
BEST COMPANY DOO,CONSUMER DISCRETIONARY,4
BETA BA UDRUZENJE ZA RAZVOJ FINANSI,INDUSTRIALS,4
BETANIJACENTAR DOO,CONSUMER DISCRETIONARY,4
BETON BIH,MATERIALS,4
BETON BIH DOO KAKANJ PODRUZNICA,MATERIALS,4
BF KOMERC DOO VELIKA,CONSUMER STAPLES,4
BFR TRADE DOO,MATERIALS,4
BG AUTO DOO,CONSUMER DISCRETIONARY,4
BG ENERGO TIM DOO,INDUSTRIALS,4
BGL COMMERCE DOO,CONSUMER DISCRETIONARY,4
BH ASFALT TRANSPORT DOO BREZA,INDUSTRIALS,4
BH EUROPART DOO,CONSUMER DISCRETIONARY,4
BH OIL COMPANY DOO,ENERGY,4
BH OIL COMPANY DOO SARAJEVOO,ENERGY,4
BH PELETE D.O.O.,UTILITIES,4
BH POSTA CENTAR POSTA,INDUSTRIALS,4
BH POSTA CENTAR POSTA TRAVNIK,INDUSTRIALS,4
BH POSTA DOO,INDUSTRIALS,4
BH POSTA DOO SA CP,INDUSTRIALS,4
BH POSTA DOO SA CP MOSTAR KARTIC,INDUSTRIALS,4
BH POSTA DOO SARAJEVO CENTAR POS,INDUSTRIALS,4
BH POSTA SARAJEVO CENTAR POSTA,INDUSTRIALS,4
BH RECYCLING DOO,INDUSTRIALS,4
BH TELECOM,COMMUNICATIONS,4
BH TOBACCO DOO,CONSUMER STAPLES,4
BH TRIGEMA DOO KAKANJ,ENERGY,4
BHIDAPA,NOT RELEVANT,4
BHL DOO,INDUSTRIALS,4
BICAKCIC DOO,INDUSTRIALS,4
BIGA DOO,CONSUMER DISCRETIONARY,4
BIH DOO,INDUSTRIALS,4
BIHACKA PIVOVARA DD,CONSUMER STAPLES,4
BIHAMK ASISTENCIJA DOO,INDUSTRIALS,4
BIHAMK UDRUZENJE BOSANSKOHERC AUTO,INDUSTRIALS,4
BIHPAK UPRAVLJANJE AMBALAZOM UDRUZE,NOT RELEVANT,4
BIJELIC GRADNJA DOO,NOT RELEVANT,4
BIJELJINA PUT DOO,INDUSTRIALS,4
BIKE DOO,CONSUMER DISCRETIONARY,4
BILI BRIG DOO,CONSUMER STAPLES,4
BILIJAR I SNUKER SAVEZ FEDERACIJE B,COMMUNICATIONS,4
BILO TRADE DOO,INDUSTRIALS,4
BILTON DOO GRUDE,MATERIALS,4
BIMACO DOO SIROKI,CONSUMER DISCRETIONARY,4
BIMAL,CONSUMER STAPLES,4
BIMAL DD,CONSUMER STAPLES,4
BINGO,CONSUMER STAPLES,4
BINVEST DOO,CONSUMER STAPLES,4
BIO MASS ENERGY DOO,INDUSTRIALS,4
BIOENERGI DOO VITEZ,UTILITIES,4
BIOKOMERC DOO,CONSUMER STAPLES,4
BIOL DOO KONJIC,ENERGY,4
BIOMEDICA DOO,HEALTH CARE,4
BIOSPHERA DOO TRGOVACKI CENTAR,NOT RELEVANT,4
BIOTEGA DOO BANJA,HEALTH CARE,4
BIP COMMERCE DOO,NOT RELEVANT,4
BIPHARM DOO,HEALTH CARE,4
BIRA DD,CONSUMER DISCRETIONARY,4
BIRAC ENERGO DOO ZVORNIK,MATERIALS,4
BIRN UDRUZENJE BALKANSKA ISTR REG M,INDUSTRIALS,4
BIRO ZELENE KARTE U BIH,INDUSTRIALS,4
BISPROM DOO,INDUSTRIALS,4
BISTRO COMPANY DOO KLADANJ,NOT RELEVANT,4
BIT CENTAR DOO U TUZLI,INDUSTRIALS,4
BITUMENKA DD,INDUSTRIALS,4
BJELASNICA DD HADZICI,NOT RELEVANT,4
BK GRADNJA DOO,INDUSTRIALS,4
BK LINEA TRADE DOO,CONSUMER DISCRETIONARY,4
BLACK & WHITE DOO,CONSUMER STAPLES,4
BLAGOLEKS DOO,CONSUMER STAPLES,4
BLATESIC TRANSPORT DOO,INDUSTRIALS,4
BLICNET DOO BANJA,COMMUNICATIONS,4
BLINDO CO DOO,INDUSTRIALS,4
BLOCK DOO,CONSUMER STAPLES,4
BLOK DOO,CONSUMER DISCRETIONARY,4
BLOW UP DOO,NOT RELEVANT,4
BM COMPANY DOO,INDUSTRIALS,4
BM PETROL DOO BANJA,NOT RELEVANT,4
BME DOO,CONSUMER DISCRETIONARY,4
BMI ADRIATIC BH,MATERIALS,4
BMK INVEST DOO,INDUSTRIALS,4
BN TRANS DOO OSMACI,INDUSTRIALS,4
BOB DOO,CONSUMER DISCRETIONARY,4
BOB DOO,INDUSTRIALS,4
BOB PRO DOO,CONSUMER STAPLES,4
BOBANA TRANSPORTI DOO,INDUSTRIALS,4
BOBITA CO DOO,CONSUMER STAPLES,4
BOEHRINGER INGELHEIM BH,COMMUNICATIONS,4
BOJANIC DOO JAJCE,CONSUMER DISCRETIONARY,4
BOJPROM DOO BANJA,CONSUMER DISCRETIONARY,4
BOKSIT AD MILICI,MATERIALS,4
BOLGRANO DOO,NOT RELEVANT,4
BOLNICA MLJECANICA KOZ. DUBICA,HEALTH CARE,4
BOM IMPEX DOO BANJA,NOT RELEVANT,4
BOMARK PACKAGING DOO,INDUSTRIALS,4
BONEL AD BANJA,CONSUMER DISCRETIONARY,4
BONGO DOO,CONSUMER STAPLES,4
BONI LUX DOO,CONSUMER STAPLES,4
BONI M DOO,CONSUMER DISCRETIONARY,4
BONITA DOO,CONSUMER STAPLES,4
BOOM PRODUKCIJA DOO,INDUSTRIALS,4
BOR DOO B,CONSUMER DISCRETIONARY,4
BOR PETROL DOO KOTOR VAROS,CONSUMER DISCRETIONARY,4
BOREAS,CONSUMER STAPLES,8
BOREAS DOO KRESEVO,CONSUMER STAPLES,4
BORIS DIVKOVIC ZAKLADA,INDUSTRIALS,4
BOROVO DOO,CONSUMER DISCRETIONARY,4
BORSA JUDO KLUB,COMMUNICATIONS,4
BOS AGRO FOOD DOO,CONSUMER STAPLES,4
BOSANCAR DOO BOSANSKA,CONSUMER DISCRETIONARY,4
BOSANSKOHERCEGOVACKI KOMITET CIGRE,INDUSTRIALS,4
BOSMAK MERMERI DOO KALESIJA,NOT RELEVANT,4
BOSMAN DOO,INDUSTRIALS,4
BOSNA DD,INDUSTRIALS,4
BOSNA VET DOO,CONSUMER STAPLES,4
BOSNAFARM DOO,HEALTH CARE,4
BOSNAFARM GROUP PZU APOTEKA,CONSUMER STAPLES,4
BOSNAFOLKLOR DOO,NOT RELEVANT,4
BOSNALIJEK,HEALTH CARE,4
BOSNALIJEK DD,HEALTH CARE,4
BOSNAMED DOO,HEALTH CARE,4
BOSNAMONTAZA AD PRIJEDOR PO,INDUSTRIALS,4
BOSNAPLAST DOO BOSANSKI,MATERIALS,4
BOSNAPROM DOO KONJIC,CONSUMER DISCRETIONARY,4
BOSNAPUTEVI GP DD,NOT RELEVANT,4
BOSNET GROUP DOO,CONSUMER STAPLES,4
BOSNIA HOTELI I RESTORANI DOO,CONSUMER DISCRETIONARY,4
BOSNIAN BEECH LINE DOO,INDUSTRIALS,4
BOSNJAK DOO SIROKI,CONSUMER DISCRETIONARY,4
BOSPOL DOO,CONSUMER DISCRETIONARY,4
BOSS DOO ZA PROIZ PROMET I USL,CONSUMER DISCRETIONARY,4
