AT KERAMETAL DOO LJUBUSKI,CONSUMER DISCRETIONARY
MEDALJON PROMET DOO BIJELJINA,INDUSTRIALS
UNION COMERC CO DOO ZENICA,CONSUMER DISCRETIONARY
DUGA TEHNA DOO CITLUK,INDUSTRIALS
OBOJENA KLAPA UDRUZENJE,INDUSTRIALS
BH ASFALT DOO,NOT RELEVANT
PLAY OFF KOSARKASKI KLUB UG SARAJEV,NOT RELEVANT
TRIAB DOO SARAJEVO,CONSUMER DISCRETIONARY
PROMTES AD TESLIC,CONSUMER STAPLES
DOM ZDRAVLJA ORASJE,NOT RELEVANT
SUBGROUP CIMOS BIH,CONSUMER DISCRETIONARY
BIGA DOO SARAJEVO,CONSUMER DISCRETIONARY
KID ZONE DOO,CONSUMER DISCRETIONARY
KNAUF DOO SARAJEVO,MATERIALS
ROBOT GENERAL TRADING CO DOO POD DE,CONSUMER STAPLES
CDEB TRGOVACKO DRUSTVO DOO SARAJEVO,CONSUMER STAPLES
TRASNA SOLUTIONS DOO GRACANICA,INFORMATION TECHNOLOGY
LUKAS TP NAKIC DOO SIROKI BRIJEG,CONSUMER STAPLES
DOKSO DOO VISOKO,CONSUMER DISCRETIONARY
M H GRADJEVINAR DOO ZIVINICE,INDUSTRIALS
PRICEWATERHOUSECOOPERS DOO SARAJEVO,INDUSTRIALS
GRADJANSKA INICIJATIVA BOSANSKI NOV,INDUSTRIALS
GROUP YIMOR,CONSUMER STAPLES
BA BOSNIA AGILE,INDUSTRIALS
BOSANSKOHERCEGOVACKI KOMITET CIGRE,INDUSTRIALS
AGROTEHNIKA DOO BIJELJINA,INDUSTRIALS
AUTO SALON DRIVE DOO,CONSUMER DISCRETIONARY
GLOBTOUR DRUSTVO ZA TURIZAM DOO MED,INDUSTRIALS
ATLANTIC GRAND DOO BIJELJINA,CONSUMER STAPLES
METROPOLIS DOO  KOZLUK,CONSUMER STAPLES
FILMSKI CENTAR SARAJEVO DOO JP,COMMUNICATIONS
CENER 21 CENTAR ZA ENERGIJU OKOLINU,INDUSTRIALS
SEC ONE GROUP DOO SARAJEVO,INDUSTRIALS
GRAND GLOBAL DOO VELIKA KLADUSA,CONSUMER DISCRETIONARY
GIPROM DOO TUZLA,CONSUMER DISCRETIONARY
GRADSKA TOPLANA JP BOSANSKI BROD,NOT RELEVANT
DOM ZDRAVLJA NOVI GRAD,HEALTH CARE
PESTAN DOO GLAMOCANI LAKTASI,MATERIALS
NOGOMETNI SAVEZ  ZE DO KANTONA ZENI,CONSUMER DISCRETIONARY
RIBNJAK AD PRNJAVOR,CONSUMER STAPLES
LOGOSOFT DOO SARAJEVO,COMMUNICATIONS
JATA GROUP DOO SREBRENIK,INDUSTRIALS
AMONIQ DOO ZENICA,CONSUMER DISCRETIONARY
RAMA GLAS DOO SARAJEVO,MATERIALS
FIBRAWORLD DOO GRADACAC,MATERIALS
EURO FOOD DOO SARAJEVO,CONSUMER STAPLES
GAMA ELECTRONIC DOO ZEPCE,CONSUMER DISCRETIONARY
PROFINE BH DOO ZIVINICE,INDUSTRIALS
TROPIC MALOPRODAJA DOO BANJA LUKA,CONSUMER STAPLES
OPAL COMERCE  DOO BIHAC,CONSUMER DISCRETIONARY
BAKALAR KOMERC DOO TREBIZAT CAPLJIN,CONSUMER STAPLES
ELUMATEC MASCHINEN DOO BIHAC,INDUSTRIALS
UDRUZENJE KARATE KLUB BASCARSIJA,COMMUNICATIONS
KREATIVA UDRUGA MOSTAR,INDUSTRIALS
CSP DOO BIJELJINA,CONSUMER DISCRETIONARY
HERBOS NATURE DOO SARAJEVO,CONSUMER STAPLES
TEHEL DOO SARAJEVO,FINANCIALS
DALEKOVOD TKS AD RUDANKA DOBOJ,NOT RELEVANT
ALUMINA DOO,MATERIALS
KJU ZA ZASTICENA PRIRODNA PODRUCJA,CONSUMER DISCRETIONARY
TECHNOR ENERGY AS DOO BANJA LUKA,UTILITIES
JU VETERINARSKI ZAVOD BIHAC,HEALTH CARE
SECTOR SECURITY DOO BANJA LUKA,INDUSTRIALS
CAVKIC DOO BIHAC,INDUSTRIALS
DMP TIM DOO BRCKO PRED ZA RIJEC TRA,INDUSTRIALS
REGENERACIJA DOO VELIKA KLADUSA,MATERIALS
SCHIEDEL DOO SARAJEVO,MATERIALS
ZAVOD ZA MEDICINU RADA KANTONA SARA,HEALTH CARE
UG TOLERANCIJOM PROTIV RAZLICITOSTI,INDUSTRIALS
SUPER NOVA DD MOSTAR,REAL ESTATE
SVIJET PRINT DOO SARAJEVO,CONSUMER DISCRETIONARY
JU DOM ZDRAVLJA SA STACIONAROM KAKA,HEALTH CARE
COMMUNIS MEDIA S DOO SARAJEVO,COMMUNICATIONS
PRICEWATERHOUSECOOPERS TAX AND ADVI,INDUSTRIALS
MLADI ZA MIR UDRUZENJE UDRUGA,INDUSTRIALS
NB BABIC DOO BRCKO,NOT RELEVANT
FABULAS DOO SARAJEVO,INDUSTRIALS
KIOSCI ALEKSA DOO PJ BR 17 BIJELJIN,CONSUMER STAPLES
MS JAPIC DOO CAZIN,CONSUMER DISCRETIONARY
KOV  GRAD  DOO BUZIM,INDUSTRIALS
SCAI ADAPTER DOO BROD,CONSUMER DISCRETIONARY
NRMU MILJEVINA DOO MILJEVINA,ENERGY
TERMOELEKTRO DOO BRCKO,INDUSTRIALS
SR TAPETARIJA NIKOLIC SP SLAVKO NIK,CONSUMER DISCRETIONARY
OPCA BOLNICA TESANJ,HEALTH CARE
INKUBATOR DRUSTVENIH INOVACIJA MUNJ,INDUSTRIALS
PIRO PROMET DOO TESANJ,CONSUMER DISCRETIONARY
NOVA VEMA DOO      ,CONSUMER DISCRETIONARY
ALMY GRADNJA DOO ZENICA,INDUSTRIALS
FONDACIJA ZA MUZICKE UMJETNOSTI,INDUSTRIALS
SEJARI DOO SARAJEVO,CONSUMER DISCRETIONARY
HEEZ TRANSPORT DOO TUZLA,INDUSTRIALS
GOLD PETROL DOO,ENERGY
GROUP FAGUS,MATERIALS
LAMIA DOO ISTOCNO SARAJEVO,CONSUMER STAPLES
BOSNIA HOTELI I RESTORANI DOO SARAJ,CONSUMER DISCRETIONARY
BOSNA VET DOO ZENICA,CONSUMER STAPLES
AGROMIX DOO DOBOJ,CONSUMER STAPLES
CITY PARK DOO BIHAC,FINANCIALS
SCO AREX DOO GRADACAC,REAL ESTATE
BRIJEST DOO GRACANICA,CONSUMER DISCRETIONARY
SWORD SECURITY DOO SARAJEVO,INDUSTRIALS
VOKER DOO GRADACAC,INDUSTRIALS
GROUP AGREKS,CONSUMER STAPLES
SPORT VISION DOO BIJELJINA,CONSUMER DISCRETIONARY
SPASIMO ZIVOTINJE SAD           ,INDUSTRIALS
BOJPROM DOO BANJA LUKA,CONSUMER DISCRETIONARY
SRCE ZA DJECU,INDUSTRIALS
FEROELEKTRO DISTRIBUCIJA DOO SARAJE,NOT RELEVANT
ISTRABENZ PLINI DOO SARAJEVO,MATERIALS
POLO JUNIOR DOO KALESIJA,ENERGY
HOUSE MILOS EXPORT IMPORT DOO,NOT RELEVANT
TERMALNA RIVIJERA ILIDZA DOO SARAJE,CONSUMER DISCRETIONARY
FIS DOO VITEZ PODRUZNICA BRCKO,CONSUMER DISCRETIONARY
PREVENT STEP DOO BUGOJNO,CONSUMER DISCRETIONARY
SIEMENS MEDICINA DOO,HEALTH CARE
RECRO NET DOO SARAJEVO,INFORMATION TECHNOLOGY
ENERGO CORP DOO,INDUSTRIALS
SARA MARKET VL DURONJA MILAN SAMAC,CONSUMER STAPLES
AGROMARKET DOO BIJELJINA,INDUSTRIALS
VELPROM DD SANSKI MOST,CONSUMER STAPLES
COMTRADE SYSTEM INTEGRATION DOO SAR,INFORMATION TECHNOLOGY
EXPRESS ONE DOO SARAJEVO,INDUSTRIALS
INTEREUROPA RTC DD SARAJEVO,INDUSTRIALS
UNISERV DOO SARAJEVO,INDUSTRIALS
VPC ATOM DOO,CONSUMER STAPLES
FONDACIJA KUCA DOBRIH TONOVA,INDUSTRIALS
LAGERMAX LOGISTIKA BH DOO SARAJEVO,INDUSTRIALS
GROUP HANO,INDUSTRIALS
AKTON TELEKOMUNIKACIJSKI INZINJE DO,COMMUNICATIONS
TAPETARIJA MATIC DOO NOVA TOPOLA GR,CONSUMER DISCRETIONARY
TESLICKA TRGOVINA DOO TESLIC,NOT RELEVANT
ATASE DOO SARAJEVO,CONSUMER DISCRETIONARY
DILAVER BENZ DOO ZEPCE,CONSUMER DISCRETIONARY
VISINA DOO SARAJEVO,CONSUMER DISCRETIONARY
BINGO DOO TUZLA  PJ MJENJACNICA JAN,CONSUMER STAPLES
GAS PETROL DOO MRKONJIC GRAD,CONSUMER DISCRETIONARY
GROUP MILENIJUM SPED DERVENTA,INDUSTRIALS
FORMETAL DOO GRUDE,MATERIALS
FONDACIJA ZIVOT,INDUSTRIALS
EASTCODE DOO BANJA LUKA,INFORMATION TECHNOLOGY
EXO MEDICAL DOO SARAJEVO,HEALTH CARE
UDRUZENJE PLATFORMA SARAJEVO,INDUSTRIALS
VELUX BOSNA I HERCEGOVINA DOO SARAJ,INDUSTRIALS
KANTONALNI STAMBENI FOND SARAJEVO,REAL ESTATE
JP RADIO TV TUZLANSKOG KANTONA,CONSUMER DISCRETIONARY
LD FARM DOO BIJELJINA,HEALTH CARE
KA BE DOO SARAJEVO,INDUSTRIALS
METAL AD GRADISKA,INDUSTRIALS
PRIVREDNA KOMORA ZE DO KANTONA  ZEN,INDUSTRIALS
UN DZ BIJEDIC  FAK HUMANISTICKIH NA,CONSUMER DISCRETIONARY
GRADNJA PLUS DOO BANJA LUKA,REAL ESTATE
NOVA DIPO DOO,CONSUMER DISCRETIONARY
BIOL DOO KONJIC,ENERGY
TERMOGLAS DOO VELIKA KLADUSA,CONSUMER STAPLES
JP BH POSTA DOO SA CP MOSTAR KARTIC,INDUSTRIALS
HENNLICH INDUSTRIJSKA TEHNIKA DOO S,INDUSTRIALS
KLINICKI CENTAR UNIVEZITETA U SARAJ,HEALTH CARE
IBHI INICIJATIVA ZA BOLJU I HUMAN I,NOT RELEVANT
COMODI PASSI DOO GRADACAC,CONSUMER DISCRETIONARY
EY CONSULTING DOO SARAJEVO,INDUSTRIALS
CLINRES FARMACIJA DOO SARAJEVO,INDUSTRIALS
KAKES DOO ZIVINICE,CONSUMER DISCRETIONARY
SJEMENARNA DOO ZA PROI I TRG EXP IM,INDUSTRIALS
INTRA ING DOO SARAJEVO,INDUSTRIALS
SAM SHOP GROUP DOO SARAJEVO,CONSUMER STAPLES
DELOITTE DOO ZA REVIZIJU,INDUSTRIALS
GALOP DOO BANJA LUKA,FINANCIALS
GROUP GLOBTOUR,INDUSTRIALS
DURIC DOO  CAZIN,NOT RELEVANT
LAMIA DOO BANJA LUKA,CONSUMER STAPLES
ABI TRANS DOO NOVI GRAD,INDUSTRIALS
OLYMP SPORT DOO BANJA LUKA,INDUSTRIALS
LORA DOO BRCKO,NOT RELEVANT
MEDICOM DOO BIJELJINA,HEALTH CARE
CASA DEL CAFFE DOO SARAJEVO,CONSUMER DISCRETIONARY
JAVNA USTANOVA ZA SPORT ODMOR I REK,CONSUMER DISCRETIONARY
MEBA DOO SARAJEVO,CONSUMER DISCRETIONARY
VIOLETA DOO GRUDE,CONSUMER STAPLES
AC QUATTRO RENT DOO SARAJEVO,INDUSTRIALS
EMMA TRANSPORTI DOO BRCKO,INDUSTRIALS
UNIGRADNJA DD SARAJEVO,INDUSTRIALS
EKOR KOMERC DOO ZENICA,CONSUMER DISCRETIONARY
SAVEZ UDRUZENJA SLIJEPIH GRADJANA T,NOT RELEVANT
LIMPRODUKT DOO,MATERIALS
DOO VODOVOD I KANALIZACIJA TUZLA JK,UTILITIES
SUBGROUP ORBICO BH,CONSUMER STAPLES
ZENTIVA PHARMA DOO,HEALTH CARE
DRUSTVENI FOND ZA STAMB KOMUN DJ I,REAL ESTATE
DELTRON DOO,INDUSTRIALS
BIHACKA PIVOVARA DD BIHAC,CONSUMER STAPLES
JP AUTOPUTEVI RS DOO BANJA LUKA,INDUSTRIALS
GOTIVA OSD AGENCIJA VL BEGLEROVIC M,COMMUNICATIONS
ALSEL TRADE DOO,INDUSTRIALS
BINGO DOO TUZLA,CONSUMER STAPLES
EMKA TRADE DOO CAZIN,CONSUMER STAPLES
MIDDLE POINT EL DOO AGENCIJA ZA TEH,INDUSTRIALS
PC ONER DOO LUKAVAC,CONSUMER DISCRETIONARY
HTL DOO SARAJEVO,CONSUMER DISCRETIONARY
LJUBIJANKIC S COMERC DOO BUZIM,CONSUMER DISCRETIONARY
C PROVEX DOO PALE,NOT RELEVANT
BRIGO INVEST DOO ISTOCNO NOVO SARAJ,ENERGY
POLICTRANS doo SARAJEVO,INDUSTRIALS
RTM EXPORT IMPORT DOO TRN LAKTASI,CONSUMER STAPLES
UNIONINVEST HIDROTEHNIKA DD SARAJEV,NOT RELEVANT
UKUS DD TESANJ,CONSUMER DISCRETIONARY
ELEKTROKRAJINA ZP MH ERS AD BANJALU,UTILITIES
DCI DOO SARAJEVO,NOT RELEVANT
FORMA DOO ZENICA,INDUSTRIALS
ALARM GROSS DOO MOSTAR,REAL ESTATE
D INZENJERING DOO,INDUSTRIALS
SAC TESTING & CONSULTING DOO SARAJE,INDUSTRIALS
INTERACTIV DOO TRN LAKTASI,CONSUMER DISCRETIONARY
PLASTEX DOO GRACANICA,MATERIALS
DALMATA DOO GABELA POLJE CAPLJINA,CONSUMER STAPLES
ATALIAN GLOBAL SERVICES BH DOO SARA,INDUSTRIALS
ETI SARAJEVO DOO SARAJEVO,INDUSTRIALS
DOO KOMPANIJA MILOJEVIC GILJE GAS B,ENERGY
POSTE SRPSKE AD BANJA LUKA,INDUSTRIALS
AHSUN SIROVINACOMERC DOO ILIJAS,INDUSTRIALS
JURE CILIC,CONSUMER DISCRETIONARY
Mist Investment Bosnia doo Sarajevo,REAL ESTATE
FRANKSTAHL DOO VITEZ,INDUSTRIALS
MEDIACENTAR FONDACIJA ZA RAZVOJ MED,INDUSTRIALS
ENERGOINVEST VMC DOO SARAJEVO,INDUSTRIALS
MEGACO DOO MOSTAR,NOT RELEVANT
TEHNA GTD DOO GRACANICA,MATERIALS
NEST 71 DOO SARAJEVO,INFORMATION TECHNOLOGY
SARAJEVOGAS DOO KJKP SARAJEVO,UTILITIES
NOMAR DOO,MATERIALS
ASTRAZENECA B-H DOO,HEALTH CARE
GLOBUS TIM DOO BIJELJINA,CONSUMER DISCRETIONARY
OIL AC DOO MOSTAR,CONSUMER DISCRETIONARY
GLOSARIJ CD DOO SARAJEVO,HEALTH CARE
ENCO DOO SARAJEVO,NOT RELEVANT
HERC GRADNJA DOO BILECA,INDUSTRIALS
DRINA TOP AD BIJELJINA,MATERIALS
UDRUZENJE GRADJANA CENTAR ZA KREATI,INDUSTRIALS
STUDENTSKI CENTAR JU SARAJEVO,CONSUMER DISCRETIONARY
SILVATIKA DOO KOTOR VAROS,MATERIALS
EPTA DOO SARAJEVO,CONSUMER DISCRETIONARY
LUCENICA KOP DOO KRESEVO      ,MATERIALS
SALVIS TRANS DOO KISELJAK,INDUSTRIALS
SPECIJALNA OLIMPIJADA U BOSNI I HER,CONSUMER DISCRETIONARY
POMOC ZIVOTINJAMA HELP ANIMALS UG S,NOT RELEVANT
TRGOVIR DOO GRACANICA,INDUSTRIALS
SDHS CSI BH DOO BANJA LUKA,INDUSTRIALS
SKS DOO ISTOCNO NOVO SARAJEVO,CONSUMER DISCRETIONARY
ELEKTROPRIVREDA HZ HB JP DD MOSTAR,UTILITIES
MONETIZE AD DOO TUZLA,INFORMATION TECHNOLOGY
TDR DOO SARAJEVO,CONSUMER STAPLES
POKOP KJKP  DOO SARAJEVO,CONSUMER DISCRETIONARY
GLOBUS DOO DVOROVI BIJELJINA,CONSUMER STAPLES
KESTEN  DOO VITEZ,NOT RELEVANT
SB FARM DOO TRAVNIK,HEALTH CARE
KING ICT DOO SARAJEVO,INFORMATION TECHNOLOGY
RDT SWISSLION DOO TREBINJE,CONSUMER STAPLES
VODOVOD I KANALIZACIJA AD ,UTILITIES
JAS COMMERCE DOO LIVNO,NOT RELEVANT
GRADSKI SAOBRACAJ KJKP SARAJEVO,INDUSTRIALS
UDRUZENJE MATEMATICARA USK UMUSK,NOT RELEVANT
PETRUZALEK DOO SARAJEVO,INDUSTRIALS
GRADATIN DOO POSUSJE,CONSUMER DISCRETIONARY
CONTENDO DOO,INDUSTRIALS
SMC TRGOVINA I ZASTUPANJE DOO SARAJ,CONSUMER DISCRETIONARY
OBALA ART CENTAR UG SARAJEVO,COMMUNICATIONS
PZU APOTEKA MAXAPO TUZLA,CONSUMER STAPLES
SIMPRO DOO  BANJA LUKA,INDUSTRIALS
ETNO SELO STANISICI DOO BIJELJINA,CONSUMER DISCRETIONARY
EURO ROAL DOO DOBOJ JUG,INDUSTRIALS
CONTAIN MBOX DOO RUDO,MATERIALS
BRSTANICA DOO SARAJEVO,CONSUMER DISCRETIONARY
GRADJEVINAR DOO NOVI TRAVNIK,INDUSTRIALS
DRVOPROMET DOO SARAJEVO,REAL ESTATE
ALPOS TVORNICA CIJEVI AD PRNJAVOR,MATERIALS
HOLDING DRINATRANS A.D.,INDUSTRIALS
SPARXSYSTEM SOFTWARE GMBH,INFORMATION TECHNOLOGY
JKP POPOVO RAVNO DOO,UTILITIES
ZAHAREX DOO SPIONICA D SREBRENIK,MATERIALS
UDRUZENJE IGRAJMO ZAJEDNO INICIJATI,INDUSTRIALS
BH TELECOM SARAJEVO DIREKCIJA BIHAC,COMMUNICATIONS
BH TELECOM DD SARAJEVO,COMMUNICATIONS
TROPICANA TRADE DOO MOSTAR,NOT RELEVANT
EMIR COMERC KURBEGOVIC DOO SANSKI M,INDUSTRIALS
EUROGRAND DOO PRNJAVOR,CONSUMER DISCRETIONARY
VIS DOO BANJA LUKA,INDUSTRIALS
MS ALEM DOO BOSANSKA KRUPA,CONSUMER STAPLES
TRGOVINSKO I USLUZNO DRUSTVO HEKO D,CONSUMER STAPLES
ALUKOENIGSTAHL DOO SARAJEVO,INDUSTRIALS
PASS NEKRETNINE I TRGOVINA DOO BIJE,REAL ESTATE
ZAKLADA INTERA,INDUSTRIALS
EUROBEST DOO KAKANJ,CONSUMER STAPLES
UG KUCA DOBRIH TONOVA,NOT RELEVANT
JKP KOMB DOO BUZIM,UTILITIES
TROPIC INTERNATIONAL DOO BANJA LUKA,MATERIALS
PRIBOS DOO SARAJEVO,NOT RELEVANT
INTER INVEST DOO MOSTAR,NOT RELEVANT
STANEX DOO,NOT RELEVANT
DLD PETROL DOO BANJA LUKA,ENERGY
ERGOMED DOO SARAJEVO,HEALTH CARE
HIPERKORT 1 BIHAC FRUCTA TRADE DOO,CONSUMER STAPLES
FOND ZA PENZIJSKO I INVALID OSIG RS,NOT RELEVANT
TEKSTILPROMET DOO MOSTAR,CONSUMER DISCRETIONARY
DUHANPROMET DOO SARAJEVO,CONSUMER STAPLES
UDRUZENJE RACUNOVODJA I REVIZORA FB,NOT RELEVANT
MIXA DOO SARAJEVO,CONSUMER STAPLES
NOBIL  DOO  NOVA BILA TRAVNIK,CONSUMER DISCRETIONARY
I M JAKUPOVIC DOO SANSKI MOST,CONSUMER STAPLES
CISTOCA  DOO  JKP CAZIN,INDUSTRIALS
ABC TECH DOO,INFORMATION TECHNOLOGY
M A L GRIZELJ DOO GRUDE,CONSUMER DISCRETIONARY
ANALITIKA CENTAR ZA DRUS ISTRAZIVAN,NOT RELEVANT
AVAZ DOO,CONSUMER DISCRETIONARY
BH TELECOM DD DIREKCIJA GORAZDE,COMMUNICATIONS
CAPAROL DOO SARAJEVO,MATERIALS
KP TEC DOO DERVENTA,INDUSTRIALS
MEPROMEX DOO TESANJ,CONSUMER DISCRETIONARY
DZIDA DOO CITLUK,CONSUMER DISCRETIONARY
INTERLIGNUM DOO TESLIC,CONSUMER DISCRETIONARY
X EXPRESS DOO BANJA LUKA,INDUSTRIALS
OBRAZOVANJE GRADI BIH UDRUZENJE JOV,INDUSTRIALS
TURISTICKA ZAJEDNICA HNK MOSTAR,INDUSTRIALS
C P A DOO KALESIJA TOJSICI,MATERIALS
REGIONALNA EKONOMSKA ZAJEDNICA DOO,INDUSTRIALS
PZU PHARMACOM APOTEKA TUZLA,CONSUMER STAPLES
JP SLOBODNA ZONA  DOO SAMAC,INDUSTRIALS
A COMPUTERS DOO BIHAC,CONSUMER DISCRETIONARY
BOB PRO DOO CITLUK,CONSUMER STAPLES
BH TELECOM DD SARAJEVO DIREKCIJA SA,COMMUNICATIONS
NEDOMEX DOO PALE,CONSUMER STAPLES
BOSNA KOSARKASKI KLUB UDRUZENJE SAR,NOT RELEVANT
OPTIMA IT DOO SARAJEVO,NOT RELEVANT
BALDI DOO SIROKI BRIJEG,NOT RELEVANT
COMMERCE PRODEX DOO GRUDE,INDUSTRIALS
SABIH GROUP DOO HADZICI,NOT RELEVANT
TO DOO ZA PROIZVODNJU I USLUGE POSU,NOT RELEVANT
ju dom zdravlja travnik,HEALTH CARE
BOX DOO DOBOJ,CONSUMER DISCRETIONARY
PORSCHE BH DOO SARAJEVO,CONSUMER DISCRETIONARY
